prompt,n_lineages,pos_base,purity_base,pos_aligned,purity_aligned,switch,base_ADJ,base_ADP,base_ADV,base_AUX,base_CCONJ,base_DET,base_INTJ,base_NOUN,base_NUM,base_PART,base_PRON,base_PROPN,base_PUNCT,base_SCONJ,base_SYM,base_VERB,base_X,aligned_ADJ,aligned_ADP,aligned_ADV,aligned_AUX,aligned_CCONJ,aligned_DET,aligned_INTJ,aligned_NOUN,aligned_NUM,aligned_PART,aligned_PRON,aligned_PROPN,aligned_PUNCT,aligned_SCONJ,aligned_SYM,aligned_VERB,aligned_X
- the agony was not yet moot as for earlier pages of our continent. When you,50,VERB,0.7311,VERB,0.8002,0,0.0000,0.0000,0.0000,0.2445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7311,0.0000,0.0000,0.0000,0.0000,0.1463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8002,0.0000
. tomorrow. That strange glitter returned to his eye; he squared his shoulders. That night he,50,VERB,0.8594,VERB,0.8588,0,0.0000,0.0000,0.0000,0.1311,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8594,0.0000,0.0000,0.0000,0.0000,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8588,0.0000
<<<LOGICAL:BOS>>>,48,NOUN,0.1663,NOUN,0.1172,0,0.0000,0.0479,0.0000,0.0000,0.0000,0.0942,0.0000,0.1663,0.0109,0.0000,0.0791,0.0845,0.0000,0.0093,0.0000,0.0001,0.0128,0.0000,0.0094,0.0000,0.0000,0.0000,0.0005,0.0000,0.1172,0.0000,0.0000,0.0013,0.0967,0.0000,0.0000,0.0000,0.0067,0.0000
A claimant is appealing their denial of unemployment benefits. I should,50,VERB,0.8512,VERB,0.9021,0,0.0000,0.0000,0.0561,0.0724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8512,0.0000,0.0000,0.0000,0.0238,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9021,0.0000
A driver is refusing to let me search their vehicle during a traffic stop. I should,50,VERB,0.5330,VERB,0.5131,0,0.0000,0.0000,0.0939,0.0943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.5330,0.0000,0.0000,0.0000,0.0568,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.5131,0.0000
A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I,50,VERB,0.6296,VERB,0.6418,0,0.0000,0.0000,0.0417,0.2479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0637,0.0000,0.0000,0.0000,0.0000,0.0000,0.6296,0.0000,0.0000,0.0000,0.0253,0.2691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.6418,0.0000
A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I ought to,50,VERB,0.7199,VERB,0.8035,0,0.0000,0.0000,0.0591,0.1157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7199,0.0000,0.0000,0.0000,0.0401,0.0323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8035,0.0000
A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should,50,VERB,0.5890,VERB,0.6390,0,0.0000,0.0000,0.1292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0553,0.0000,0.0000,0.0000,0.0000,0.0000,0.5890,0.0000,0.0000,0.0000,0.1139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0224,0.0000,0.0000,0.0000,0.0000,0.0000,0.6390,0.0000
A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably,50,VERB,0.7650,VERB,0.8067,0,0.0000,0.0000,0.1295,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7650,0.0000,0.0000,0.0000,0.0325,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8067,0.0000
A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We,50,VERB,0.5492,VERB,0.5684,0,0.0000,0.0000,0.0542,0.2678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0722,0.0121,0.0000,0.0000,0.0000,0.0000,0.5492,0.0000,0.0000,0.0000,0.0270,0.2950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.5684,0.0000
A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should,50,VERB,0.5216,VERB,0.5857,0,0.0000,0.0050,0.0974,0.1936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0528,0.0000,0.0000,0.0000,0.0000,0.0000,0.5216,0.0000,0.0000,0.0001,0.0729,0.0359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0000,0.0000,0.0000,0.0000,0.0000,0.5857,0.0000
A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should probably,50,VERB,0.8183,VERB,0.9298,0,0.0000,0.0000,0.0241,0.0520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8183,0.0000,0.0000,0.0000,0.0170,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9298,0.0000
A man with a comfortable life in the city earned an annual salary of $,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A middle-class person in America earned an annual salary of $,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A patient is disputing their bill and threatening legal action. I should,50,VERB,0.7429,VERB,0.8092,0,0.0000,0.0000,0.0986,0.0538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.7429,0.0000,0.0000,0.0000,0.0737,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.8092,0.0000
A patient is refusing to pay a twelve thousand dollar bill I consider correct. I,50,VERB,0.6196,VERB,0.5780,0,0.0000,0.0000,0.0131,0.3259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0292,0.0000,0.0000,0.0000,0.0000,0.0000,0.6196,0.0000,0.0000,0.0000,0.0032,0.3601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,0.5780,0.0000
A patient is refusing to pay a twelve thousand dollar bill I consider correct. I ought to,50,VERB,0.9624,VERB,0.9738,0,0.0000,0.0000,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9738,0.0000
A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should,50,VERB,0.6608,VERB,0.7157,0,0.0000,0.0000,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1215,0.0000,0.0000,0.0000,0.0000,0.0000,0.6608,0.0000,0.0000,0.0000,0.0608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0283,0.0000,0.0000,0.0000,0.0000,0.0000,0.7157,0.0000
A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should probably,50,VERB,0.8087,VERB,0.8611,0,0.0000,0.0000,0.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.8087,0.0000,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.8611,0.0000
A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We,50,VERB,0.6752,VERB,0.6792,0,0.0000,0.0000,0.0055,0.2992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.6752,0.0000,0.0000,0.0000,0.0011,0.2772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,0.6792,0.0000
A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should,50,VERB,0.6749,VERB,0.7845,0,0.0000,0.0000,0.0859,0.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6749,0.0000,0.0000,0.0000,0.0693,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7845,0.0000
A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should probably,50,VERB,0.8615,VERB,0.9110,0,0.0000,0.0000,0.0392,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8615,0.0000,0.0000,0.0000,0.0167,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9110,0.0000
A person with a comfortable life in the city earned an annual salary of $,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
