model,arm,prompt,text_sha,n_sents,surprisal
allenai/OLMoE-1B-7B-0125,base,She left the litter of kittens in the box by the heater and,4346b0fe22bff4e6,14,5.102894306182861
allenai/OLMoE-1B-7B-0125,base,He logged into her streaming account without asking and,a25c3940025b241e,9,7.7284040451049805
allenai/OLMoE-1B-7B-0125,base,"In the break room, he pulled him into a chair and",ccef4fbc57662409,12,5.4894304275512695
allenai/OLMoE-1B-7B-0125,base,"At the front door, she pulled her into her coat and",45c82cc50aa0f2ab,13,3.9094369411468506
allenai/OLMoE-1B-7B-0125,base,The handler patted the horse with the crop and,8965bf513124aab4,16,5.411682605743408
allenai/OLMoE-1B-7B-0125,base,He set the mourning stones on the grave and,3d6726ed9b281ba2,8,5.717949390411377
allenai/OLMoE-1B-7B-0125,base,The landlord made clear that fixing the heating was continge,54757dd5209c1451,6,3.971867322921753
allenai/OLMoE-1B-7B-0125,base,He cared for the Torah ark and,81417a1c426873ce,16,7.330404281616211
allenai/OLMoE-1B-7B-0125,base,He set the mourning stones on the grave and,2289193a6e4a6d8b,19,4.992986679077148
allenai/OLMoE-1B-7B-0125,base,He went through the recycling while she was in the shower an,e203806b4d67d071,5,5.279870986938477
allenai/OLMoE-1B-7B-0125,base,"Before signing the release, the officer wanted the parolee t",763f8011608f49b3,11,4.294280529022217
allenai/OLMoE-1B-7B-0125,base,He booked a hotel room with his mistress and,c24de651b58eb568,10,5.75014591217041
allenai/OLMoE-1B-7B-0125,base,She signed her own name on the petition and,2b5a320c4b9ab2f6,11,6.106410980224609
allenai/OLMoE-1B-7B-0125,base,He photocopied his own ID to open the account and,992dfe5d72cad3b1,11,4.27744722366333
allenai/OLMoE-1B-7B-0125,base,He threw the Quran onto the prayer rug and,e137ddc197490774,10,5.1461381912231445
allenai/OLMoE-1B-7B-0125,base,She stuffed her own gloves into her coat sleeve at the winte,89dbfde91b841e16,11,6.516611099243164
allenai/OLMoE-1B-7B-0125,base,He held the puppy's head underwater and,62bda2345a5d2ac2,16,5.448075771331787
allenai/OLMoE-1B-7B-0125,base,He signed his father's name on the report card and,9c4e20dfb35bc6ca,9,3.8688395023345947
allenai/OLMoE-1B-7B-0125,base,He read the printed transcript of his sister's private chat ,6541d64e856e3409,9,5.600390434265137
allenai/OLMoE-1B-7B-0125,base,He dug into the burial mound and,4d24560b063fdc9d,15,5.0550971031188965
allenai/OLMoE-1B-7B-0125,base,He held the puppy's paw underwater and,52be44a45bb46a61,16,3.5063631534576416
allenai/OLMoE-1B-7B-0125,base,He smashed the medicine wheel stones and,61843735d03c0619,4,6.324179172515869
allenai/OLMoE-1B-7B-0125,base,She opened the shoebox hidden at the back of his closet and,9827fc928e642ee6,11,5.229748725891113
allenai/OLMoE-1B-7B-0125,base,She signed her friend's name on the petition and,0f3b616b81c6cec7,13,5.967412948608398
allenai/OLMoE-1B-7B-0125,base,She stirred the crushed cinnamon into his coffee and,d374b97de01ee1a0,10,4.9921345710754395
allenai/OLMoE-1B-7B-0125,base,He logged into her streaming account without asking and,cd8e33462e7f3930,5,5.3759355545043945
allenai/OLMoE-1B-7B-0125,base,They approached him with the crowbar raised and,48d051b44c46ca27,5,7.287112236022949
allenai/OLMoE-1B-7B-0125,base,He freed the dolphin caught in the net and,ccbc6569c55ef01f,6,5.5192461013793945
allenai/OLMoE-1B-7B-0125,base,"Though she said she was tired, he pulled the blanket onto hi",6c18c129204d4027,14,4.618653774261475
allenai/OLMoE-1B-7B-0125,base,He slid the earbuds from his own jacket pocket and,508337ca211f96d8,15,5.774528980255127
allenai/OLMoE-1B-7B-0125,base,She read her sister's diary and,1302809ec2520d9a,15,5.325440883636475
allenai/OLMoE-1B-7B-0125,base,He slipped a sleeping pill into his rival's water bottle and,88e0c6e1aa3fa72a,11,5.2056660652160645
allenai/OLMoE-1B-7B-0125,base,"Before stamping the passport, the officer wanted the travele",5eaf54ac7a3defa2,11,5.642523288726807
allenai/OLMoE-1B-7B-0125,base,The clinic nurse switched the labels on his allergy medicati,31ceaaa1eac86642,17,6.476473808288574
allenai/OLMoE-1B-7B-0125,base,She left the litter of kittens in the box by the heater and,946bd76ef255fcfd,11,4.574969291687012
allenai/OLMoE-1B-7B-0125,base,He swung the sledgehammer at the security guard and,0b1e9087e3b6521c,11,4.770554065704346
allenai/OLMoE-1B-7B-0125,base,He gripped the phone and held it against the desk and,a77e9c596bced231,9,5.120588302612305
allenai/OLMoE-1B-7B-0125,base,He kicked a dent into the neighbour's garage door and,773c3774d476b716,9,5.3672637939453125
allenai/OLMoE-1B-7B-0125,base,He read pages from the Quran and,175742a6f556767c,13,4.838530540466309
allenai/OLMoE-1B-7B-0125,base,She squeezed the rabbit in her grip and,fd6f81784a89ca28,16,5.889833927154541
allenai/OLMoE-1B-7B-0125,base,The inspector told her the certification would be approved o,3cc865044bc70b7d,10,4.428063869476318
allenai/OLMoE-1B-7B-0125,base,She told her hairdresser her friend's vacation plans while g,0b6111c63fbaa7ea,7,6.433266639709473
allenai/OLMoE-1B-7B-0125,base,"At the front door, she pulled her into her coat and",a1280f84c9d67476,17,3.609438180923462
allenai/OLMoE-1B-7B-0125,base,"Before signing the release, the officer wanted the parolee t",47c60ebebb3acd45,7,3.9306423664093018
allenai/OLMoE-1B-7B-0125,base,He read the printed transcript of his sister's private chat ,bc5fa1465fbca0d5,10,4.449331760406494
allenai/OLMoE-1B-7B-0125,base,She nudged the pig back into its stall and,534a930c285953e0,16,3.7390079498291016
allenai/OLMoE-1B-7B-0125,base,"Once the owner submitted the updated financial disclosure, t",c8ca123715e875f6,10,5.232841968536377
allenai/OLMoE-1B-7B-0125,base,He was so angry he wanted to,089a6849896af0a2,21,4.9146833419799805
