LINE CLOSURE: mass-weighted p(the line ends here).
ENDS = called, end1.  MIDS = mid2, near.  The CONTRAST is the measure.

model                          attn          block        ENDS      MIDS  contrast
Llama-3.1-8B                   full          dense      0.2818    0.0123   +0.2694
SmolLM3-3B-Base                full          dense      0.2691    0.0220   +0.2471
Qwen2.5-7B-Instruct            full          dense      0.2475    0.0137   +0.2338
SmolLM3-3B                     full          dense      0.2321    0.0149   +0.2172
Qwen2.5-7B                     full          dense      0.2298    0.0168   +0.2129
Olmo-Hybrid-Instruct-DPO-7B    full+linear   hybrid     0.2307    0.0209   +0.2098
Qwen3-8B-Base                  full          dense      0.2259    0.0170   +0.2089
Llama-3.1-8B-Instruct          full          dense      0.2163    0.0111   +0.2052
OLMo-2-0425-1B-Instruct        full          dense      0.2205    0.0237   +0.1969
kanana-1.5-8b-base             full          dense      0.2125    0.0164   +0.1961
Falcon-H1-1.5B-Instruct        full+ssm      hybrid     0.0067    0.0010   +0.0057
Teuken-7B-instruct-v0.6        full          dense      0.0081    0.0025   +0.0055
neo_7b                         full          dense      0.0146    0.0102   +0.0044
RedPajama-INCITE-7B-Chat       full          dense      0.0048    0.0008   +0.0039
CroissantLLMBase               full          dense      0.0105    0.0071   +0.0033
mpt-7b                         full          dense      0.0099    0.0066   +0.0033
neo_7b_instruct_v0.1           full          dense      0.0036    0.0012   +0.0024
Aquila2-7B                     full          dense      0.0011    0.0006   +0.0005

median contrast over 94 models: +0.0218
attention-free/linear-only +0.0235 (n=4)   attention-bearing +0.0218 (n=90)
