source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
A1.3+,Caution [+],T3-,"Time: Old, new and young; age [-]",14,26,10,6.9336,0.5508,0.845019,fine,32
A4.1,"Generally kinds, groups, examples",L1-,Life and living things [-],26,40,10,4.8846,2.1189,0.0806905,fine,32
H4,Residence,E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",18,27,19,4.6896,2.7075,0.122078,fine,32
N3.2+,Measurement: Size  [+],G2.1-,"Crime, law and order: Law and order [-]",21,37,17,4.1294,0.6937,0.511376,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],A7+++,Definite (+ modals) [+++],22,28,35,4.0090,2.6608,0.00371917,fine,32
A1.8+,Inclusion/Exclusion [+],A3+,Being [+],23,33,19,3.9975,2.5857,0.035082,fine,32
O4.2-,Judgement of appearance (pretty etc.) [-],X2.3+,Learn [+],17,25,18,3.9302,3.3187,0.107752,fine,32
X2.2+,Knowledge [+],Z2,Geographical names,28,45,42,3.7181,2.2344,0.135156,fine,32
N3.2+,Measurement: Size  [+],B5-,Clothes and personal belongings [-],27,38,16,3.6320,2.3632,0.013853,fine,32
N3.2+,Measurement: Size  [+],A7-,Definite (+ modals) [-],22,32,15,3.6064,2.8038,0.0501025,fine,32
N3.2+,Measurement: Size  [+],X3.3,Sensory:- Touch,23,31,12,3.5984,2.4791,0.0106738,fine,32
E5-,Fear/bravery/shock [-],O4.6+,Temperature      [+],34,46,19,3.4970,1.8529,0.00164149,fine,32
Q2.1,Speech etc:- Communicative,X2,Mental actions and processes,25,37,20,3.4590,2.2541,0.047031,fine,32
X9.2-,Ability:- Success and failure [-],T1.1.2,Time: General: Present; simultaneous,20,26,19,3.4016,3.3267,0.00935531,fine,32
N3.2+,Measurement: Size  [+],E4.1-,Happy/sad: Happy [-],34,46,31,3.3986,1.7441,0.00164149,fine,32
N3.2+,Measurement: Size  [+],K1,Entertainment generally,34,45,37,3.3246,1.5571,0.000824082,fine,32
Z4,Discourse Bin,A5,Evaluation,19,26,17,3.2103,3.7943,0.0289593,fine,32
E5-,Fear/bravery/shock [-],N5+,Quantities [+],33,44,32,3.1851,2.0488,0.00126003,fine,32
N3.2+,Measurement: Size  [+],X3.4+,Sensory:- Sight [+],17,30,16,3.1756,1.9646,0.584665,fine,32
I1.2,Money: Debts,A7+++,Definite (+ modals) [+++],26,31,34,3.1606,2.9655,0.000192195,fine,32
H1,Architecture and kinds of houses and buildings,S6+,Obligation and necessity [+],39,45,152,3.1580,2.9276,5.41777e-07,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],N3.2+,Measurement: Size  [+],38,48,117,3.1293,2.6150,6.16964e-05,fine,32
A7-,Definite (+ modals) [-],S1.2.4+,Politeness [+],17,27,25,3.1074,1.5297,0.247789,fine,32
B2-,Health and disease [-],X2.6+,Expect [+],29,36,11,3.0975,2.8216,0.000312551,fine,32
S5+,Groups and affiliation [+],L1-,Life and living things [-],29,46,35,3.0073,1.9336,0.103805,fine,32
A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],L2mfn,Living creatures generally [mfn],29,44,26,3.0008,3.8104,0.0487668,fine,32
T1.3,Time: Period,N5++,Quantities [++],33,45,36,2.9876,2.7411,0.0024589,fine,32
S7.4+,Permission [+],X2.6-,Expect [-],19,32,31,2.9451,1.9633,0.377086,fine,32
N3.2+,Measurement: Size  [+],E4.1+,Happy/sad: Happy [+],30,45,28,2.9291,1.7814,0.0356978,fine,32
X5.1-,Attention [-],N3.2+,Measurement: Size  [+],25,38,35,2.8913,1.7817,0.0729514,fine,32
A1.1.2,Damaging and destroying,L2mfn,Living creatures generally [mfn],34,44,33,2.8617,3.4305,0.000388131,fine,32
N5+,Quantities [+],A7+++,Definite (+ modals) [+++],25,33,46,2.8491,2.2786,0.00455138,fine,32
I3.1,Work and employment: Generally,A7+++,Definite (+ modals) [+++],26,31,34,2.8443,3.1867,0.000192195,fine,32
N5.1-,Entirety; maximum [-],E4.1+,Happy/sad: Happy [+],23,37,16,2.8260,2.6060,0.187742,fine,32
S8-,Helping/hindering [-],A5,Evaluation,26,36,39,2.8179,3.4048,0.011331,fine,32
H5,Furniture and household fittings,L1-,Life and living things [-],36,47,53,2.7978,1.3262,0.000346001,fine,32
N4,Linear order,A5,Evaluation,26,39,43,2.7907,2.9875,0.0532519,fine,32
S4f,Kin [f],T1.1.1,Time: General: Past,26,35,12,2.7700,3.0294,0.00598812,fine,32
Q3,"Language, speech and grammar",S7.1-,"Power, organizing [-]",16,27,19,2.7551,1.9534,0.442068,fine,32
X9.2-,Ability:- Success and failure [-],A5.3,Evaluation:- Accuracy,25,38,41,2.7550,2.8517,0.0729514,fine,32
E5-,Fear/bravery/shock [-],A2.1,"Affect:- Modify, change",30,45,27,2.7473,1.8201,0.0356978,fine,32
O4.6+,Temperature      [+],T1,Time,28,36,53,2.7403,4.1524,0.00119324,fine,32
S7.4+,Permission [+],N3.2+,Measurement: Size  [+],36,46,117,2.7355,2.8950,0.000156417,fine,32
N3.2+,Measurement: Size  [+],E6-,"Worry, concern, confident [-]",20,37,25,2.7178,1.0588,0.742829,fine,32
A6.2+,Comparing:- Usual/unusual  [+],F1,Food,26,45,66,2.7096,2.7360,0.371298,fine,32
A7-,Definite (+ modals) [-],A9-,Getting and giving; possession [-],30,45,44,2.6907,1.0789,0.0356978,fine,32
S1.1.3-,Participation [-],S1.2.4+,Politeness [+],18,26,31,2.6872,3.7203,0.0755187,fine,32
N3.2+,Measurement: Size  [+],A1.1.2,Damaging and destroying,29,43,22,2.6682,1.9540,0.0315395,fine,32
I1.2,Money: Debts,A11.1+,Importance: Important [+],39,46,105,2.6619,2.5638,1.83154e-06,fine,32
H5,Furniture and household fittings,A3+,Being [+],15,27,17,2.6556,2.1045,0.701108,fine,32
E5-,Fear/bravery/shock [-],S1.2.4+,Politeness [+],27,40,25,2.6541,1.5530,0.0384773,fine,32
Z5,Grammatical bin,Y1,Science and technology in general,25,34,90,2.6489,2.8376,0.00904119,fine,32
I1,Money generally,E3+,Calm/Violent/Angry [+],25,37,24,2.6488,2.5860,0.047031,fine,32
I1.1,Money: Affluence,A7+++,Definite (+ modals) [+++],27,33,36,2.6464,1.8874,0.000324063,fine,32
O4.2-,Judgement of appearance (pretty etc.) [-],A8,Seem,30,43,45,2.6459,1.7659,0.0137182,fine,32
X2.4,"Investigate, examine, test, search",A5.3-,Evaluation:- Accuracy [-],35,46,76,2.6391,2.6617,0.000535585,fine,32
N6,Frequency etc.,O4.4,Shape,22,37,21,2.6352,1.2063,0.324009,fine,32
N3.2+,Measurement: Size  [+],X2.5+,Understand [+],31,42,35,2.6058,1.8913,0.00288725,fine,32
A1.7+,Constraint [+],O4.5,Texture,29,45,54,2.5865,1.7186,0.0724543,fine,32
K2,Music and related activities,A7-,Definite (+ modals) [-],19,32,15,2.5759,2.7572,0.377086,fine,32
N5+++,Quantities [+++],S8-,Helping/hindering [-],26,35,24,2.5743,3.1735,0.00598812,fine,32
S8+,Helping/hindering [+],X3.4+,Sensory:- Sight [+],37,47,97,2.5728,2.0549,9.84888e-05,fine,32
A1.8+,Inclusion/Exclusion [+],O4.4,Shape,25,39,33,2.5672,1.8979,0.108129,fine,32
G1.1c,Government etc. [c],N3.2+,Measurement: Size  [+],21,29,18,2.5659,4.2332,0.0241195,fine,32
X3.2,Sensory:- Sound,T1.3+,Time: Period [+],19,26,21,2.5641,3.1269,0.0289593,fine,32
A2.1,"Affect:- Modify, change",E6+,"Worry, concern, confident [+]",29,44,64,2.5617,1.5545,0.0487668,fine,32
T2+,Time: Beginning and ending [+],A11.1-,Importance: Important [-],22,38,62,2.5610,1.5074,0.417692,fine,32
Z8,Pronouns etc.,Y1,Science and technology in general,20,29,30,2.5573,2.8237,0.0614283,fine,32
L2,Living creatures generally,N6+,Frequency etc. [+],15,25,14,2.5301,2.1673,0.424356,fine,32
T2++,Time: Beginning and ending [++],N3.8+fn,Measurement: Speed [+fn],20,31,21,2.5188,1.8625,0.149613,fine,32
X3.3,Sensory:- Touch,G2.1,"Crime, law and order: Law and order",20,35,14,2.5113,1.7438,0.49956,fine,32
T2+,Time: Beginning and ending [+],X2.2-,Knowledge [-],34,47,120,2.5092,2.1810,0.00308768,fine,32
I1.2,Money: Debts,A1.8+,Inclusion/Exclusion [+],35,46,97,2.5088,2.1356,0.000535585,fine,32
E4.1+,Happy/sad: Happy [+],N3.7-,Measurement: Length & height [-],22,30,18,2.5017,3.1519,0.0161248,fine,32
H4,Residence,A5.1-,Evaluation:- Good/bad [-],31,43,32,2.4974,2.4241,0.00540157,fine,32
X3.2,Sensory:- Sound,G2.1,"Crime, law and order: Law and order",39,49,142,2.4752,2.7934,3.84591e-05,fine,32
H5,Furniture and household fittings,X5.2+,Interest/boredom/excited/energetic [+],20,33,13,2.4696,2.8747,0.296206,fine,32
A9-,Getting and giving; possession [-],N3.8---,Measurement: Speed [---],28,37,45,2.4687,2.2760,0.00256321,fine,32
