source,source_label,target,target_label,up,n,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],N3.8,Measurement: Speed,31,37,2.0858,2.6408,4.12576e-05,fine,64
L1-,Life and living things [-],S6-,Obligation and necessity [-],27,40,2.0661,1.9110,0.0384773,fine,64
E3-,Calm/Violent/Angry [-],A7-,Definite (+ modals) [-],34,43,2.0575,2.6004,0.000170155,fine,64
E3-,Calm/Violent/Angry [-],T3,"Time: Old, new and young; age",21,34,1.9088,1.8743,0.229481,fine,64
L1-,Life and living things [-],W4,Weather ,15,25,1.8193,3.1402,0.424356,fine,64
E3-,Calm/Violent/Angry [-],G2.1,"Crime, law and order: Law and order",37,49,1.7538,1.8225,0.000469757,fine,64
E3-,Calm/Violent/Angry [-],S9,Religion and the supernatural,37,48,1.7192,2.1946,0.000222245,fine,64
L1-,Life and living things [-],X2.3+,Learn [+],33,44,1.6890,2.9870,0.00126003,fine,64
E3-,Calm/Violent/Angry [-],T1,Time,33,47,1.6236,1.4301,0.00794273,fine,64
L1-,Life and living things [-],A4.2+,Particular/general; detail [+],38,47,1.5911,2.9410,2.4904e-05,fine,64
E3-,Calm/Violent/Angry [-],Z1mf,Personal names [mf],31,49,1.5748,1.1764,0.0854331,fine,64
E3-,Calm/Violent/Angry [-],A5.2+,Evaluation:- True/false [+],32,45,1.5674,2.4176,0.00660882,fine,64
E3-,Calm/Violent/Angry [-],Q3,"Language, speech and grammar",37,48,1.5600,1.7945,0.000222245,fine,64
E3-,Calm/Violent/Angry [-],S7.3+,Competition [+],19,34,1.5593,1.1834,0.607591,fine,64
E3-,Calm/Violent/Angry [-],N5+,Quantities [+],38,48,1.5458,1.8401,6.16964e-05,fine,64
E3-,Calm/Violent/Angry [-],A1.3+,Caution [+],37,48,1.5396,2.3305,0.000222245,fine,64
E3-,Calm/Violent/Angry [-],T3-,"Time: Old, new and young; age [-]",31,48,1.5056,1.4714,0.0594634,fine,64
E3-,Calm/Violent/Angry [-],A1.5,Use,19,34,1.4767,1.1262,0.607591,fine,64
E3-,Calm/Violent/Angry [-],E3+,Calm/Violent/Angry [+],39,49,1.4687,2.0725,3.84591e-05,fine,64
E3-,Calm/Violent/Angry [-],X4.1,Mental object:- Conceptual object,34,47,1.4464,2.0644,0.00308768,fine,64
E3-,Calm/Violent/Angry [-],X5.2+,Interest/boredom/excited/energetic [+],34,46,1.4463,1.6147,0.00164149,fine,64
E3-,Calm/Violent/Angry [-],X2.5+,Understand [+],32,45,1.4424,1.8566,0.00660882,fine,64
L1-,Life and living things [-],X2.5+,Understand [+],32,47,1.4358,3.0873,0.0186238,fine,64
E3-,Calm/Violent/Angry [-],I3.2,Work and employmeny: Professionalism,18,33,1.4278,1.0907,0.728332,fine,64
E3-,Calm/Violent/Angry [-],A2.1,"Affect:- Modify, change",32,48,1.4250,1.8238,0.0293049,fine,64
E3-,Calm/Violent/Angry [-],I1.1,Money: Affluence,34,47,1.4239,1.3338,0.00308768,fine,64
E3-,Calm/Violent/Angry [-],A4.1,"Generally kinds, groups, examples",36,49,1.4091,1.9514,0.00140269,fine,64
L1-,Life and living things [-],N3.8+fn,Measurement: Speed [+fn],31,43,1.3718,3.4078,0.00540157,fine,64
L1-,Life and living things [-],T3,"Time: Old, new and young; age",17,31,1.3685,2.6434,0.7201,fine,64
E3-,Calm/Violent/Angry [-],I1.3,Money: Price,29,48,1.3526,1.3681,0.193413,fine,64
E3-,Calm/Violent/Angry [-],N3.8---,Measurement: Speed [---],15,28,1.3480,0.7522,0.850554,fine,64
L1-,Life and living things [-],Z1m,Personal names [m],24,43,1.3279,1.7105,0.542384,fine,64
E3-,Calm/Violent/Angry [-],P1,Education in general,34,49,1.3276,1.6726,0.00939924,fine,64
L1-,Life and living things [-],P1,Education in general,34,47,1.3240,2.3946,0.00308768,fine,64
L1-,Life and living things [-],Q1.2,Paper documents and writing,29,49,1.3111,1.9378,0.25287,fine,64
E3-,Calm/Violent/Angry [-],E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",32,48,1.3087,1.8662,0.0293049,fine,64
E3-,Calm/Violent/Angry [-],K2,Music and related activities,30,48,1.3077,1.8783,0.111403,fine,64
L1-,Life and living things [-],M8,Remaining/stationary,29,48,1.3056,1.6771,0.193413,fine,64
E3-,Calm/Violent/Angry [-],A8,Seem,35,49,1.3043,1.2628,0.00380165,fine,64
L1-,Life and living things [-],A15+,Safety/Danger [+],33,48,1.3011,2.0034,0.0132833,fine,64
E3-,Calm/Violent/Angry [-],A5,Evaluation,23,39,1.2961,2.6083,0.336784,fine,64
L1-,Life and living things [-],A7-,Definite (+ modals) [-],18,29,1.2866,3.1386,0.264931,fine,64
E3-,Calm/Violent/Angry [-],S1.2.4+,Politeness [+],30,48,1.2831,1.4987,0.111403,fine,64
L1-,Life and living things [-],B4,Cleaning and personal care,28,45,1.2825,1.9355,0.135156,fine,64
L1-,Life and living things [-],A12-,Easy/difficult [-],33,46,1.2771,2.8713,0.00453386,fine,64
L1-,Life and living things [-],G2.2-,General ethics [-],28,47,1.2761,1.9626,0.24296,fine,64
L1-,Life and living things [-],A11.1+,Importance: Important [+],18,33,1.2720,2.2614,0.728332,fine,64
E3-,Calm/Violent/Angry [-],Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",41,49,1.2678,1.3385,1.96465e-06,fine,64
E3-,Calm/Violent/Angry [-],I2.2,Business: Selling,32,48,1.2614,1.2921,0.0293049,fine,64
E3-,Calm/Violent/Angry [-],K4,"Drama, the theatre and showbusiness",32,49,1.2550,1.9641,0.0443842,fine,64
L1-,Life and living things [-],A2.2,Affect:- Cause/Connected,33,48,1.2507,2.1439,0.0132833,fine,64
L1-,Life and living things [-],N3.3+,Measurement: Distance [+],15,28,1.2497,2.8562,0.850554,fine,64
L1-,Life and living things [-],E4.1+,Happy/sad: Happy [+],31,46,1.2472,2.4180,0.0258961,fine,64
E3-,Calm/Violent/Angry [-],X3.4+,Sensory:- Sight [+],28,46,1.2450,1.7618,0.183925,fine,64
E3-,Calm/Violent/Angry [-],E4.2+,Happy/sad: Contentment [+],25,42,1.2439,1.5362,0.279956,fine,64
L1-,Life and living things [-],G1.1,Government etc.,21,38,1.2399,2.4670,0.627103,fine,64
E3-,Calm/Violent/Angry [-],Q2.1,Speech etc:- Communicative,36,49,1.2365,1.5005,0.00140269,fine,64
L1-,Life and living things [-],X3.1,Sensory:- Taste,20,38,1.2353,2.0964,0.871415,fine,64
E3-,Calm/Violent/Angry [-],T2-,Time: Beginning and ending [-],33,49,1.2232,1.4304,0.0212941,fine,64
E3-,Calm/Violent/Angry [-],Z6,Negative,27,49,1.2222,1.3294,0.568172,fine,64
L1-,Life and living things [-],A5.1+,Evaluation:- Good/bad [+],26,46,1.2193,1.8961,0.461391,fine,64
E3-,Calm/Violent/Angry [-],L2mfn,Living creatures generally [mfn],28,48,1.2165,1.5858,0.312327,fine,64
E3-,Calm/Violent/Angry [-],A1.5.1,Using,33,49,1.2076,1.2809,0.0212941,fine,64
E3-,Calm/Violent/Angry [-],X2.3+,Learn [+],19,37,1.2071,1.5261,1,fine,64
L1-,Life and living things [-],X2.6-,Expect [-],21,37,1.2062,2.6075,0.511376,fine,64
E3-,Calm/Violent/Angry [-],A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],29,49,1.2045,1.1785,0.25287,fine,64
E3-,Calm/Violent/Angry [-],A5.4-,Evaluation:- Authenticity [-],28,46,1.2020,1.2994,0.183925,fine,64
L1-,Life and living things [-],A8,Seem,30,48,1.2014,2.1498,0.111403,fine,64
E3-,Calm/Violent/Angry [-],S8+,Helping/hindering [+],35,49,1.1991,1.5451,0.00380165,fine,64
L1-,Life and living things [-],X4.1,Mental object:- Conceptual object,25,44,1.1914,2.1346,0.451381,fine,64
E3-,Calm/Violent/Angry [-],A5.1,Evaluation:- Good/bad,17,30,1.1874,2.6068,0.584665,fine,64
E3-,Calm/Violent/Angry [-],O4.4,Shape,31,48,1.1866,1.4499,0.0594634,fine,64
L1-,Life and living things [-],K1,Entertainment generally,37,49,1.1771,2.4404,0.000469757,fine,64
E3-,Calm/Violent/Angry [-],B3,medicines and medical treatment,28,48,1.1723,1.2600,0.312327,fine,64
L1-,Life and living things [-],Q3,"Language, speech and grammar",26,44,1.1680,2.0788,0.291215,fine,64
L1-,Life and living things [-],X7+,Wanting; planning; choosing [+],30,48,1.1671,2.0476,0.111403,fine,64
L1-,Life and living things [-],Z4,Discourse Bin,27,49,1.1656,1.9310,0.568172,fine,64
E3-,Calm/Violent/Angry [-],M1,"Moving, coming and going",35,49,1.1634,1.2245,0.00380165,fine,64
E3-,Calm/Violent/Angry [-],M2,"Putting, taking, pulling, pushing, transporting &c.",37,49,1.1580,1.1002,0.000469757,fine,64
E3-,Calm/Violent/Angry [-],Q2.2,Speech acts,28,49,1.1562,1.2672,0.391603,fine,64
L1-,Life and living things [-],T1,Time,24,47,1.1535,1.2616,1,fine,64
