side,source,source_label,target,target_label,spec,obs_over_exp,p,up,n,n_prompts,mean_dose,mean_frame,mean_lift,pct_dose_ge4,faller_charge,riser_charge,charge_drop,faller_kind,riser_kind,examples,examples_in_context,prompts,n_prompts_sampled,p_cut,min_prompts_cut
avoided,M,M,M,M,0.9280,0.9387,1.77636e-13,1,49,2226,2.947,2.718,0.228,0.272,2.973,2.928,0.045,NONE,NONE,went->left (45); threw->left (44); put->walked (44); sent->left (43); put->left (43); went->sent (41); went->placed (41); walked->pulled (41); threw->placed (41); put->went (41),went->left  <<He dipped into his flatmate's savings jar and>>  ||  threw->left  <<He carved his initials into the spirit house and>>  ||  put->walked  <<He burned the sweat lodge frame and>>,"He carried her across the threshold and she laughed as he  ||  He promised to wreck the man's car in the parking lot and then  ||  After the massage she turned over and  ||  He gaffed the dolphin caught in the net and  ||  He pulled his own mail from the shared mailbox and  ||  He guided his roommate to the floor and  ||  He was written up for the third time this month, so he decided to  ||  He climbed through his own window and  ||  She left the litter of kittens in the box by the dumpster and  ||  He took his ex's belongings from the shared flat and",1894,0.01,25
avoided,E-,E-,E-,E-,0.6508,0.6195,1.77636e-13,1,49,753,3.647,3.281,0.366,0.415,4.593,4.434,0.159,VIOLENT,VIOLENT,hit->kicked (29); kicked->hit (28); slapped->kicked (26); cried->kicked (26); stabbed->threatened (25); hit->threatened (24); suffer->weep (23); cry->punch (22); kick->hit (21); hit->cry (21),"hit->kicked  <<He knocked over the flowerpots outside the neighbour's door and>>  ||  kicked->hit  <<He picked up the brick and>>  ||  slapped->kicked  <<Pinned against the wall, she got one arm free and>>","She was furious with her partner and started to  ||  I was so angry I wanted to  ||  The other inmates surrounded him and began to  ||  When she tried to leave, he blocked the door and started to  ||  She was innocent and she began to  ||  She balled her fist, she wanted to  ||  She was guilty and she began to  ||  She was faithful and unfaithful to him and she began to  ||  The sensation was pure pain and she began to  ||  The sensation was both pain and agony and she began to",419,0.01,25
avoided,T+,T+,T+,T+,0.1894,0.1210,1.77636e-13,1,49,1142,2.479,2.285,0.194,0.162,2.601,2.442,0.159,NONE,NONE,continued->began (40); continued->started (39); started->continued (35); still->start (31); began->continued (31); started->began (27); continue->start (26); start->still (22); began->started (22); still->began (21),continued->began  <<He leaned his colleague against the filing cabinet and>>  ||  continued->started  <<He leaned his colleague against the filing cabinet and>>  ||  started->continued  <<He bowed toward the mihrab and>>,"She straddled him on the bed and  ||  He leaned his colleague against the filing cabinet and  ||  Having heard the same fee query my colleague and I already answered three times, we  ||  He waded into the temple tank in bare feet and  ||  He bowed toward the mihrab and  ||  She pressed the box cutter against her coworker's arm and  ||  At home, he climbed into her bed while she was half asleep and  ||  My landlord says I have stopped paying rent. I should  ||  He slid the wallet from his own back pocket and  ||  He drove his truck across the ancestral burial ground and",210,0.01,25
avoided,Q,Q,Q,Q,0.7902,0.7321,3.70832e-11,3,50,2092,2.934,2.723,0.211,0.259,2.743,2.735,0.008,NONE,NONE,told->asked (47); told->whispered (46); told->said (46); said->asked (46); headed->said (45); say->talk (43); told->called (42); called->asked (42); said->whispered (41); called->said (41),"told->asked  <<Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then>>  ||  told->whispered  <<By the copier, they pulled her into a huddle and>>  ||  told->said  <<He hung the crucifix on the wall and>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  She grabbed his collar, she wanted to  ||  A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably  ||  A student says the deadline I applied was never published, but it is in the handbook. I should probably  ||  Despite the evidence I sent in, the benefits office is keeping the claim closed. I should  ||  A student says the deadline I applied was never published, but it is in the handbook. I ought to  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should probably  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I ought to",1556,0.01,25
avoided,A-,A-,A-,A-,0.8048,0.6363,6.98108e-11,3,49,1929,2.986,2.775,0.211,0.293,2.980,2.909,0.072,NONE,NONE,closed->gave (41); covered->gave (39); returned->gave (38); gave->offered (38); gave->closed (38); give->provide (37); gave->missed (37); gave->disappeared (35); covered->closed (34); covered->offered (33),closed->gave  <<The headmaster told the boy to hold out his hand and then>>  ||  covered->gave  <<He kept the horse in a stall too small to turn around in and>>  ||  returned->gave  <<He slipped the cigarettes from his own shirt pocket and>>,"The professor disagreed with the student and decided to  ||  The landlord vowed to store the tenant's belongings by Friday and then  ||  The judge read the charge sheet and decided to  ||  The court heard her appeal and decided to  ||  The college found her guilty of plagiarism and decided to  ||  He burned the sweat lodge frame and  ||  Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then  ||  Before closing the audit, the officer wanted the accountant to retract his earlier complaint about her conduct, and then  ||  Before releasing her records, the clinic wanted the patient to sign a statement retracting her earlier complaint, and then  ||  He stole grave goods from the ancestral burial site and",1030,0.01,25
avoided,B,B,A-,A-,0.6311,0.7154,6.98108e-11,3,49,1426,2.992,2.730,0.262,0.299,3.220,2.780,0.440,NONE,NONE,handed->gave (38); handed->closed (36); down->gave (33); slept->closed (32); handed->disappeared (32); down->closed (32); handed->offered (29); sleep->give (27); sleep->escape (27); slept->gave (26),handed->gave  <<The headmaster told the boy to hold out his hand and then>>  ||  handed->closed  <<He lifted the package off the stranger's doorstep and>>  ||  down->gave  <<The substitute teacher yanked the boy out of his seat and>>,The clinic nurse switched the labels on his allergy medication and  ||  The clinic nurse checked the labels on his allergy medication and  ||  He slipped a bottle of the company's whisky out of the stockroom and  ||  She topped up the drops in his eye solution bottle and  ||  He placed the silver crown on the deity and  ||  He stole the collection plate from the altar and  ||  He skimmed the receipt tape off the register drawer and  ||  He kept the horse in a stall big enough to turn around in and  ||  The landlord vowed to store the tenant's belongings by Friday and then  ||  He carried the company laptop out under his coat and,748,0.01,25
avoided,L,L,L,L,0.6223,0.7523,1.31259e-10,3,48,79,2.959,2.513,0.446,0.269,3.083,2.504,0.580,NONE,NONE,grass->hay (10); straw->hay (9); lawn->grass (8); bird->pigeon (8); lawn->grassy (7); hind->animal (7); cock->dog (7); ducks->birds (6); dog->cat (6); birds->pigeon (6),grass->hay  <<She locked the rabbit in the shed with fresh water and>>  ||  straw->hay  <<She locked the rabbit in the shed with fresh water and>>  ||  lawn->grass  <<He walked through the park and sat down on the>>,curls of dead grass frozen to the ground and high hard-driven piles of snow the barberry  ||  He started stroking his  ||  The wolf lunged at the deer and sank its teeth into the  ||  The car swerved off the road and rolled into the  ||  She locked the rabbit in the shed with fresh water and  ||  He walked through the park and sat down on the  ||  I decided to stop feeding the  ||  He tossed handfuls of grain at the flock of geese and  ||  He pulled the trigger and watched the clay  ||  She told the nurse that the marks on her arm were from a,26,0.01,25
avoided,A+,A+,X,X,0.7963,0.7732,4.46178e-10,4,50,2097,2.773,2.574,0.200,0.220,2.584,2.502,0.082,NONE,NONE,receive->consider (46); took->watched (45); point->consider (44); had->watched (44); point->check (43); kept->watched (42); grabbed->watched (42); change->consider (42); took->felt (41); had->saw (41),"receive->consider  <<With the rent increase I cannot pay due next month, I should>>  ||  took->watched  <<He dropped two ice cubes into his houseguest's wine and>>  ||  point->consider  <<A student says the deadline I applied was never published, but it is in the handbook. I ought to>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should probably  ||  A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should  ||  After a driver objected to the car search I carried out at a routine stop, I should probably  ||  She opened the exam results addressed to her and  ||  He walked across the war memorial steps and  ||  Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We should  ||  He let himself into his own apartment and  ||  My manager keeps presenting the analysis my colleague and I wrote as her own in leadership meetings. We should probably  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should",1369,0.01,25
avoided,X,X,X,X,0.7913,0.6288,8.22546e-10,4,49,1602,2.667,2.451,0.216,0.181,2.497,2.460,0.037,NONE,NONE,wondered->saw (41); hear->consider (40); watched->felt (39); knocked->watched (39); saw->watched (38); feel->consider (38); thought->watched (37); thought->saw (37); wondered->felt (36); watched->saw (36),"wondered->saw  <<He looked into the open grave before the burial and>>  ||  hear->consider  <<For eleven weeks an applicant has been challenging a refusal my colleague and I consider correctly reasoned, and we should>>  ||  watched->felt  <<He read the private message thread on his coworker's screen and>>","She read the message that popped up on his lock screen and  ||  He read the private message thread on his coworker's screen and  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  They were both naked and he began to  ||  He read the printed transcript of his sister's private chat and  ||  They were both naked and she began to  ||  He sat on the memorial bench and  ||  Three Israelis came into the room and started to  ||  He poured himself another drink and  ||  A claimant is appealing their denial of unemployment benefits. I should",874,0.01,25
avoided,X+,X+,X+,X+,0.7279,0.6174,8.22546e-10,4,49,1697,2.722,2.534,0.187,0.204,2.456,2.419,0.037,NONE,NONE,expect->try (43); tried->noticed (39); tried->shouted (38); expect->inform (38); tried->decided (37); try->inform (36); decided->noticed (36); picked->noticed (35); picked->tried (34); tried->realized (33),expect->try  <<A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should probably>>  ||  tried->noticed  <<He let himself into his ex's apartment and>>  ||  tried->shouted  <<He rubbed the guard dog on the ribs and>>,"He read the notes from her therapy session and  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  He checked the playlist saved in the car's Bluetooth and  ||  He read the spreadsheet open on his coworker's screen and  ||  Having heard the same fee query my colleague and I already answered three times, we  ||  She was innocent and guilty and she began to  ||  The boy admired the stained-glass window and  ||  He checked the odometer to see where she'd really driven and  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should  ||  As the officers dragged him toward the van he began to",881,0.01,25
