source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
S+,S+,E-,E-,44,49,999,2.2319,1.4456,7.59716e-09,letter,32
E,E,T+,T+,38,48,284,2.1614,1.7409,6.16964e-05,letter,32
X-,X-,T,T,29,48,128,1.8694,0.5927,0.193413,letter,32
N+,N+,G+,G+,20,30,20,1.7550,2.1210,0.0987371,letter,32
N+,N+,K,K,35,48,332,1.6467,1.8019,0.00208811,letter,32
X,X,K,K,38,49,616,1.6320,1.1087,0.000141971,letter,32
B-,B-,Q,Q,42,49,348,1.5898,1.4798,3.62458e-07,letter,32
T+,T+,O-,O-,27,45,136,1.5773,0.8643,0.232693,letter,32
E-,E-,C,C,32,47,215,1.5595,1.4144,0.0186238,letter,32
Q,Q,O-,O-,30,45,201,1.5534,0.8980,0.0356978,letter,32
T-,T-,N+,N+,41,48,388,1.5262,1.8882,6.24041e-07,letter,32
T-,T-,S,S,30,48,413,1.5258,1.4442,0.111403,letter,32
B,B,Y,Y,21,39,43,1.5255,1.1685,0.749259,letter,32
S+,S+,T,T,33,49,321,1.5093,0.7390,0.0212941,letter,32
E+,E+,I,I,27,48,325,1.4956,1.0356,0.470879,letter,32
Z,Z,P,P,29,46,103,1.4780,1.4335,0.103805,letter,32
N+,N+,E,E,31,48,132,1.4648,1.9545,0.0594634,letter,32
T-,T-,N,N,31,48,238,1.4633,1.6240,0.0594634,letter,32
T+,T+,X-,X-,40,48,770,1.4530,1.1579,3.30527e-06,letter,32
T+,T+,N-,N-,30,48,215,1.4328,1.2547,0.111403,letter,32
B,B,X+,X+,36,49,1097,1.4265,1.4369,0.00140269,letter,32
N,N,G,G,33,49,134,1.4225,0.8430,0.0212941,letter,32
Z,Z,K,K,35,47,227,1.4169,1.8865,0.00108854,letter,32
T,T,E-,E-,29,47,181,1.4130,1.1635,0.143865,letter,32
Z,Z,L+,L+,22,41,45,1.4126,0.7434,0.755229,letter,32
T-,T-,P,P,30,48,103,1.4067,1.2535,0.111403,letter,32
B-,B-,K,K,34,49,133,1.4040,1.6980,0.00939924,letter,32
N+,N+,E-,E-,33,49,556,1.3976,1.1600,0.0212941,letter,32
C,C,X-,X-,29,48,221,1.3968,1.8798,0.193413,letter,32
E,E,A,A,35,48,460,1.3892,0.9306,0.00208811,letter,32
Q,Q,B+,B+,13,26,18,1.3876,0.0000,1,letter,32
B-,B-,X+,X+,35,48,279,1.3865,1.3376,0.00208811,letter,32
Y,Y,X,X,31,45,72,1.3829,1.3998,0.0160944,letter,32
F,F,L-,L-,34,49,199,1.3828,0.9014,0.00939924,letter,32
S+,S+,E+,E+,36,49,812,1.3813,0.8584,0.00140269,letter,32
E,E,A-,A-,29,48,387,1.3789,0.7533,0.193413,letter,32
K,K,I,I,32,48,341,1.3726,0.5857,0.0293049,letter,32
H,H,Q,Q,37,49,659,1.3655,1.7103,0.000469757,letter,32
H,H,G-,G-,29,47,98,1.3621,2.0082,0.143865,letter,32
S-,S-,P,P,29,48,111,1.3613,1.4692,0.193413,letter,32
Z,Z,L-,L-,29,48,120,1.3574,0.7058,0.193413,letter,32
L-,L-,Q,Q,38,49,658,1.3558,2.5816,0.000141971,letter,32
X,X,S-,S-,35,49,616,1.3548,0.9384,0.00380165,letter,32
A-,A-,G-,G-,28,49,400,1.3534,0.8978,0.391603,letter,32
N-,N-,X,X,33,48,236,1.3533,1.0794,0.0132833,letter,32
B+,B+,M,M,28,41,29,1.3531,1.8222,0.0275332,letter,32
X-,X-,N,N,28,47,146,1.3519,0.5340,0.24296,letter,32
X+,X+,C,C,31,47,323,1.3437,0.6666,0.0399861,letter,32
S-,S-,E+,E+,27,49,316,1.3412,1.0566,0.568172,letter,32
N+,N+,X-,X-,34,48,467,1.3409,1.7292,0.0055152,letter,32
F,F,T-,T-,30,49,236,1.3399,1.7668,0.152408,letter,32
Q,Q,G+,G+,28,46,59,1.3396,1.3723,0.183925,letter,32
E-,E-,P,P,30,49,184,1.3293,1.3535,0.152408,letter,32
N-,N-,O,O,26,48,125,1.3266,0.7632,0.665466,letter,32
P,P,T+,T+,34,48,177,1.3172,1.4728,0.0055152,letter,32
Q,Q,I+,I+,23,33,63,1.3159,1.1294,0.035082,letter,32
Z,Z,G+,G+,19,33,18,1.3117,1.2535,0.48685,letter,32
Z,Z,G,G,30,49,165,1.3093,1.1182,0.152408,letter,32
G+,G+,A-,A-,22,36,18,1.3023,0.2115,0.242985,letter,32
G-,G-,B-,B-,29,48,81,1.2948,1.0173,0.193413,letter,32
E,E,Q,Q,35,48,468,1.2916,0.7464,0.00208811,letter,32
T-,T-,Q,Q,39,48,866,1.2889,1.4994,1.52218e-05,letter,32
X+,X+,S+,S+,42,49,1736,1.2850,1.1687,3.62458e-07,letter,32
N+,N+,P,P,29,48,110,1.2842,0.9920,0.193413,letter,32
S,S,X-,X-,34,48,532,1.2833,2.6589,0.0055152,letter,32
B,B,T-,T-,34,49,409,1.2827,1.2288,0.00939924,letter,32
Z,Z,E,E,33,48,124,1.2802,2.0265,0.0132833,letter,32
G-,G-,T-,T-,28,49,109,1.2766,1.2012,0.391603,letter,32
T,T,S,S,30,48,276,1.2743,1.2785,0.111403,letter,32
X,X,W,W,27,46,150,1.2733,0.3840,0.301996,letter,32
Z,Z,B-,B-,28,47,101,1.2647,1.9052,0.24296,letter,32
O+,O+,T-,T-,29,49,131,1.2621,1.4732,0.25287,letter,32
G,G,S,S,35,49,413,1.2617,1.6987,0.00380165,letter,32
B,B,S,S,30,49,522,1.2568,1.0368,0.152408,letter,32
K,K,A+,A+,33,49,717,1.2567,0.9077,0.0212941,letter,32
O+,O+,G-,G-,25,45,84,1.2559,1.2372,0.551484,letter,32
I,I,S-,S-,31,49,373,1.2547,1.2356,0.0854331,letter,32
T+,T+,E+,E+,31,48,764,1.2545,0.6653,0.0594634,letter,32
G-,G-,T+,T+,31,48,253,1.2518,1.1565,0.0594634,letter,32
Q,Q,E,E,37,49,461,1.2504,1.8585,0.000469757,letter,32
E-,E-,Y,Y,20,37,26,1.2502,1.4885,0.742829,letter,32
K,K,S+,S+,29,49,596,1.2494,0.7865,0.25287,letter,32
E,E,N,N,26,46,90,1.2475,0.7419,0.461391,letter,32
O+,O+,X,X,30,49,443,1.2456,1.5957,0.152408,letter,32
K,K,T+,T+,34,49,443,1.2455,0.9485,0.00939924,letter,32
I,I,X,X,37,49,1126,1.2439,1.8454,0.000469757,letter,32
C,C,E+,E+,30,48,235,1.2436,1.4440,0.111403,letter,32
T+,T+,B,B,28,48,960,1.2432,0.5895,0.312327,letter,32
I-,I-,S,S,31,48,247,1.2392,1.7294,0.0594634,letter,32
B,B,L-,L-,29,49,253,1.2392,0.6369,0.25287,letter,32
N+,N+,E+,E+,30,48,458,1.2380,0.9385,0.111403,letter,32
K,K,A-,A-,35,49,610,1.2369,0.8372,0.00380165,letter,32
T,T,S-,S-,29,47,134,1.2361,1.4514,0.143865,letter,32
A-,A-,K,K,35,49,687,1.2330,1.1736,0.00380165,letter,32
E+,E+,E-,E-,28,49,525,1.2317,1.0947,0.391603,letter,32
X-,X-,I,I,32,48,331,1.2284,0.5453,0.0293049,letter,32
A+,A+,E-,E-,37,49,1454,1.2266,0.8951,0.000469757,letter,32
N,N,K,K,26,48,188,1.2260,1.5272,0.665466,letter,32
A-,A-,T+,T+,39,49,1518,1.2241,1.0473,3.84591e-05,letter,32
O-,O-,Q,Q,27,46,127,1.2216,1.1437,0.301996,letter,32
L-,L-,C,C,27,46,100,1.2216,1.8609,0.301996,letter,32
L+,L+,A-,A-,28,47,115,1.2197,1.8233,0.24296,letter,32
G-,G-,E-,E-,28,49,222,1.2191,1.0233,0.391603,letter,32
