source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],N5-,Quantities [-],28,41,33,2.1002,2.8478,0.0275332,fine,32
E3-,Calm/Violent/Angry [-],A7-,Definite (+ modals) [-],31,40,55,2.0242,3.3678,0.000679548,fine,32
E3-,Calm/Violent/Angry [-],S7.2+,Respect [+],23,31,36,1.8226,2.8177,0.0106738,fine,32
L1-,Life and living things [-],X2.3+,Learn [+],30,43,90,1.8191,3.0004,0.0137182,fine,32
E3-,Calm/Violent/Angry [-],A5,Evaluation,19,27,25,1.7290,3.8943,0.052239,fine,32
E3-,Calm/Violent/Angry [-],S9,Religion and the supernatural,31,46,63,1.7062,2.6264,0.0258961,fine,32
E3-,Calm/Violent/Angry [-],G2.1,"Crime, law and order: Law and order",38,48,161,1.7031,1.8853,6.16964e-05,fine,32
E3-,Calm/Violent/Angry [-],T1,Time,19,27,36,1.6421,2.4639,0.052239,fine,32
E3-,Calm/Violent/Angry [-],N5+,Quantities [+],32,47,110,1.6230,1.6772,0.0186238,fine,32
E3-,Calm/Violent/Angry [-],X3.4+,Sensory:- Sight [+],30,44,102,1.6160,2.6636,0.0226288,fine,32
L1-,Life and living things [-],A6.1+,Comparing:- Similar/different [+],18,30,35,1.5788,3.4356,0.361595,fine,32
E3-,Calm/Violent/Angry [-],A5.2+,Evaluation:- True/false [+],31,45,46,1.5737,3.1088,0.0160944,fine,32
E3-,Calm/Violent/Angry [-],A7+,Definite (+ modals) [+],27,40,121,1.5684,2.5524,0.0384773,fine,32
E3-,Calm/Violent/Angry [-],S1.2.4+,Politeness [+],28,44,93,1.5563,2.6769,0.0961418,fine,32
E3-,Calm/Violent/Angry [-],P1,Education in general,32,49,120,1.5511,1.9737,0.0443842,fine,32
E3-,Calm/Violent/Angry [-],X2.5+,Understand [+],33,42,118,1.5067,2.5803,0.000271539,fine,32
E3-,Calm/Violent/Angry [-],X5.2+,Interest/boredom/excited/energetic [+],20,35,34,1.4966,2.6231,0.49956,fine,32
E3-,Calm/Violent/Angry [-],A4.1,"Generally kinds, groups, examples",25,42,55,1.4932,2.0937,0.279956,fine,32
L1-,Life and living things [-],Q3,"Language, speech and grammar",23,38,35,1.4906,2.4257,0.255875,fine,32
L1-,Life and living things [-],A5.1+,Evaluation:- Good/bad [+],26,39,40,1.4834,2.6874,0.0532519,fine,32
E3-,Calm/Violent/Angry [-],X3.1,Sensory:- Taste,19,33,14,1.4770,1.6693,0.48685,fine,32
E3-,Calm/Violent/Angry [-],I1.3,Money: Price,32,48,84,1.4708,1.5062,0.0293049,fine,32
L1-,Life and living things [-],I2.2,Business: Selling,32,48,163,1.4633,2.0177,0.0293049,fine,32
E3-,Calm/Violent/Angry [-],S1.1.3+,Participation [+],22,35,28,1.4522,2.0728,0.175465,fine,32
L1-,Life and living things [-],X5.2+,Interest/boredom/excited/energetic [+],17,30,28,1.4197,1.9327,0.584665,fine,32
L1-,Life and living things [-],A12-,Easy/difficult [-],17,31,31,1.4111,1.5089,0.7201,fine,32
L1-,Life and living things [-],H1,Architecture and kinds of houses and buildings,28,44,118,1.4073,1.8880,0.0961418,fine,32
E3-,Calm/Violent/Angry [-],S5+,Groups and affiliation [+],24,43,54,1.3956,2.0105,0.542384,fine,32
E3-,Calm/Violent/Angry [-],S1.1.1,"SOCIAL ACTIONS, STATES AND PROCESSES",30,48,105,1.3877,2.2355,0.111403,fine,32
E3-,Calm/Violent/Angry [-],C1,Arts and crafts,29,47,167,1.3862,1.2543,0.143865,fine,32
E3-,Calm/Violent/Angry [-],Q2.1,Speech etc:- Communicative,43,49,746,1.3855,1.7347,5.72777e-08,fine,32
L1-,Life and living things [-],B4,Cleaning and personal care,31,45,94,1.3839,2.1960,0.0160944,fine,32
E3-,Calm/Violent/Angry [-],I1.1,Money: Affluence,29,46,93,1.3778,1.7121,0.103805,fine,32
L1-,Life and living things [-],S1.2.4+,Politeness [+],26,44,74,1.3642,2.8969,0.291215,fine,32
E3-,Calm/Violent/Angry [-],O4.4,Shape,32,48,336,1.3567,1.8457,0.0293049,fine,32
E3-,Calm/Violent/Angry [-],Z1mf,Personal names [mf],22,39,50,1.3465,0.3272,0.522397,fine,32
L1-,Life and living things [-],A7+,Definite (+ modals) [+],25,38,91,1.3451,3.7304,0.0729514,fine,32
E3-,Calm/Violent/Angry [-],X2.4,"Investigate, examine, test, search",34,49,308,1.3405,2.2004,0.00939924,fine,32
E3-,Calm/Violent/Angry [-],S3.2,Relationship: Intimate/sexual,30,49,176,1.3317,1.2274,0.152408,fine,32
E3-,Calm/Violent/Angry [-],X7-,Wanting; planning; choosing [-],25,45,59,1.3248,2.0300,0.551484,fine,32
E3-,Calm/Violent/Angry [-],K2,Music and related activities,32,48,101,1.3221,2.0823,0.0293049,fine,32
E3-,Calm/Violent/Angry [-],A5.4-,Evaluation:- Authenticity [-],24,42,102,1.3127,1.2519,0.440799,fine,32
E3-,Calm/Violent/Angry [-],X2.3+,Learn [+],19,33,30,1.2977,1.3534,0.48685,fine,32
L1-,Life and living things [-],Q2.2,Speech acts,35,49,576,1.2904,2.7270,0.00380165,fine,32
L1-,Life and living things [-],Q1.2,Paper documents and writing,32,49,281,1.2838,2.2396,0.0443842,fine,32
