source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
S6+,Obligation and necessity [+],E3-,Calm/Violent/Angry [-],37,47,67,4.3726,2.9846,9.84888e-05,fine,32
N3.2+,Measurement: Size  [+],B5-,Clothes and personal belongings [-],25,34,13,3.9980,3.0191,0.00904119,fine,32
K4,"Drama, the theatre and showbusiness",A7+,Definite (+ modals) [+],24,34,10,3.7769,3.3438,0.0243065,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",N6,Frequency etc.,20,25,20,3.4193,3.5632,0.00407732,fine,32
A7-,Definite (+ modals) [-],S6+,Obligation and necessity [+],31,38,21,3.3510,3.9098,0.000116167,fine,32
N3.2+,Measurement: Size  [+],K2,Music and related activities,30,42,25,3.1614,2.3846,0.0079159,fine,32
X9.2-,Ability:- Success and failure [-],S1.1.1,"SOCIAL ACTIONS, STATES AND PROCESSES",32,44,59,3.1244,2.7410,0.00365777,fine,32
N3.2+,Measurement: Size  [+],E4.1-,Happy/sad: Happy [-],35,46,28,3.1110,1.7572,0.000535585,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",A5,Evaluation,22,33,32,3.0303,2.9020,0.0801433,fine,32
Z5,Grammatical bin,X5.1+,Attention [+],19,25,14,3.0156,2.7988,0.0146333,fine,32
K1,Entertainment generally,T1.1.2,Time: General: Present; simultaneous,17,27,17,2.9986,2.4855,0.247789,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",I2.2,Business: Selling,31,47,79,2.9644,1.4002,0.0399861,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",X4.2,"Mental object:- Means, method",16,25,20,2.9520,1.9977,0.229523,fine,32
T2-,Time: Beginning and ending [-],X4.2,"Mental object:- Means, method",31,40,74,2.9418,3.3048,0.000679548,fine,32
A2.2,Affect:- Cause/Connected,N3.2+,Measurement: Size  [+],17,26,20,2.9214,2.2094,0.168638,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],N3.2+,Measurement: Size  [+],40,48,106,2.9174,2.3327,3.30527e-06,fine,32
K1,Entertainment generally,A5,Evaluation,19,31,21,2.8940,2.8850,0.281042,fine,32
A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],A11.1+,Importance: Important [+],29,42,58,2.8864,2.0483,0.0195205,fine,32
A4.1,"Generally kinds, groups, examples",S6+,Obligation and necessity [+],24,35,19,2.8593,3.5408,0.0409596,fine,32
N3.2+,Measurement: Size  [+],A1.1.2,Damaging and destroying,28,40,14,2.8357,2.5232,0.016589,fine,32
S7.4+,Permission [+],S2mf,People [mf],26,39,71,2.8093,2.7905,0.0532519,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],A5.1,Evaluation:- Good/bad,20,30,26,2.8034,2.3551,0.0987371,fine,32
X3.4,Sensory:- Sight,O4.2+,Judgement of appearance (pretty etc.) [+],22,34,44,2.8000,1.3593,0.121449,fine,32
I1,Money generally,G2.1,"Crime, law and order: Law and order",19,33,11,2.7881,2.2786,0.48685,fine,32
S7.4+,Permission [+],N3.2+,Measurement: Size  [+],37,46,89,2.7865,2.4670,4.05604e-05,fine,32
S7.4+,Permission [+],T1.1.2,Time: General: Present; simultaneous,27,43,50,2.7814,2.2586,0.126289,fine,32
I1.3,Money: Price,T1.1.2,Time: General: Present; simultaneous,20,27,17,2.7813,3.0466,0.0191573,fine,32
X5.1-,Attention [-],N3.2+,Measurement: Size  [+],23,34,26,2.7765,2.5981,0.0576127,fine,32
T2+,Time: Beginning and ending [+],X2.2-,Knowledge [-],31,45,60,2.7615,2.0655,0.0160944,fine,32
G2.2-,General ethics [-],E3-,Calm/Violent/Angry [-],33,47,62,2.7546,1.5283,0.00794273,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",X3.2-,Sensory:- Sound [-],37,44,76,2.6642,3.4092,5.29958e-06,fine,32
S1.1.2+,Reciprocity [+],O4.3,Colour and colour patterns,14,26,11,2.6512,1.1623,0.845019,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],A5,Evaluation,36,47,137,2.6157,2.1256,0.000346001,fine,32
Z6,Negative,A1.8+,Inclusion/Exclusion [+],21,33,17,2.5847,2.0760,0.162756,fine,32
X2.2-,Knowledge [-],X2.4,"Investigate, examine, test, search",18,26,19,2.5639,1.5978,0.0755187,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],S7.4-,Permission [-],19,29,15,2.5585,1.3212,0.136046,fine,32
S1.2.4+,Politeness [+],X5.1+,Attention [+],16,25,34,2.5577,2.1556,0.229523,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",A5.3,Evaluation:- Accuracy,21,32,28,2.5418,2.0947,0.110184,fine,32
E4.2+,Happy/sad: Contentment [+],H1,Architecture and kinds of houses and buildings,18,26,11,2.5352,2.8598,0.0755187,fine,32
S6+,Obligation and necessity [+],E4.1+,Happy/sad: Happy [+],28,46,48,2.5300,1.5370,0.183925,fine,32
N3.2+,Measurement: Size  [+],K1,Entertainment generally,29,43,32,2.5277,1.8570,0.0315395,fine,32
O1.1,Substances and materials generally: Solid,K2,Music and related activities,29,39,26,2.5002,2.4065,0.00337785,fine,32
A2.1,"Affect:- Modify, change",X5.1+,Attention [+],42,48,95,2.4892,2.3246,1.00875e-07,fine,32
A2.1,"Affect:- Modify, change",B5-,Clothes and personal belongings [-],24,36,13,2.4797,1.7481,0.0652453,fine,32
A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],X3.2++,Sensory:- Sound [++],39,48,209,2.4641,2.2248,1.52218e-05,fine,32
A1.7-,Constraint [-],A5,Evaluation,14,25,18,2.4615,2.4564,0.690038,fine,32
Z6,Negative,N3.2+,Measurement: Size  [+],22,34,21,2.4580,2.6176,0.121449,fine,32
T2+,Time: Beginning and ending [+],A5.3-,Evaluation:- Accuracy [-],39,46,78,2.4499,2.4676,1.83154e-06,fine,32
X5.1-,Attention [-],S3.1,Relationship: General,19,31,23,2.4456,1.5849,0.281042,fine,32
K2,Music and related activities,A7-,Definite (+ modals) [-],19,28,14,2.4426,2.0521,0.0871586,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",T1.1.2,Time: General: Present; simultaneous,18,26,21,2.4371,2.0197,0.0755187,fine,32
E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",A11.1+,Importance: Important [+],15,28,35,2.4280,1.3776,0.850554,fine,32
S7.4+,Permission [+],S3.1,Relationship: General,32,45,114,2.4087,1.4079,0.00660882,fine,32
K1,Entertainment generally,A7+,Definite (+ modals) [+],31,45,67,2.4033,1.4923,0.0160944,fine,32
X3.2++,Sensory:- Sound [++],X2.5+,Understand [+],22,36,38,2.3933,1.7243,0.242985,fine,32
M7,Places,S8-,Helping/hindering [-],26,40,30,2.3892,1.6659,0.0806905,fine,32
S7.4+,Permission [+],A1.8+,Inclusion/Exclusion [+],34,43,89,2.3854,1.9749,0.000170155,fine,32
