side,source,source_label,target,target_label,spec,obs_over_exp,p,up,n,n_prompts,mean_dose,mean_frame,mean_lift,pct_dose_ge4,faller_charge,riser_charge,charge_drop,faller_kind,riser_kind,examples,examples_in_context,prompts,n_prompts_sampled,p_cut,min_prompts_cut
avoided,M,M,M,M,0.9272,0.9638,3.55271e-15,0,49,1966,2.977,2.757,0.219,0.282,2.962,2.912,0.049,NONE,NONE,went->left (45); threw->left (44); put->walked (44); sent->left (43); put->left (43); walked->pulled (42); went->turned (41); went->sent (41); went->placed (41); threw->placed (41),went->left  <<He dipped into his flatmate's savings jar and>>  ||  threw->left  <<He carved his initials into the spirit house and>>  ||  put->walked  <<He burned the sweat lodge frame and>>,"He promised to wreck the man's car in the parking lot and then  ||  He carried her across the threshold and she laughed as he  ||  He gaffed the dolphin caught in the net and  ||  He drove his truck across the gravel lot and  ||  He was written up for the third time this month, so he decided to  ||  He guided his roommate to the floor and  ||  After the massage she turned over and  ||  He lifted the glasses case from his own jacket and  ||  He climbed through his own window and  ||  He pulled his own mail from the shared mailbox and",1711,0.01,25
avoided,Q,Q,Q,Q,0.8017,0.7489,9.05942e-14,1,50,2019,2.946,2.740,0.206,0.263,2.746,2.740,0.006,NONE,NONE,told->asked (47); told->whispered (46); told->said (46); said->asked (46); headed->said (45); say->talk (43); told->called (42); called->asked (42); said->whispered (41); called->said (41),"told->asked  <<Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then>>  ||  told->whispered  <<By the copier, they pulled her into a huddle and>>  ||  told->said  <<He hung the crucifix on the wall and>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  She grabbed his collar, she wanted to  ||  A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably  ||  A student says the deadline I applied was never published, but it is in the handbook. I should probably  ||  Despite the evidence I sent in, the benefits office is keeping the claim closed. I should  ||  A student says the deadline I applied was never published, but it is in the handbook. I ought to  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I ought to  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should probably",1508,0.01,25
avoided,T+,T+,T+,T+,0.1749,0.1217,3.48166e-13,1,48,1003,2.539,2.349,0.190,0.191,2.657,2.574,0.083,NONE,NONE,continued->began (40); continued->started (39); started->continued (35); began->continued (31); started->began (27); continue->start (26); began->started (22); start->continue (21); begin->start (19); started->extended (17),continued->began  <<He leaned his colleague against the filing cabinet and>>  ||  continued->started  <<He leaned his colleague against the filing cabinet and>>  ||  started->continued  <<He bowed toward the mihrab and>>,"She straddled him on the bed and  ||  He leaned his colleague against the filing cabinet and  ||  He bowed toward the mihrab and  ||  She pressed the box cutter against her coworker's arm and  ||  At home, he climbed into her bed while she was half asleep and  ||  He slid the wallet from his own back pocket and  ||  He drove his truck across the ancestral burial ground and  ||  He swung the sledgehammer at the security guard and  ||  He bowed before the Buddha statue and  ||  He slung the dead rooster at his rival's dog and",152,0.01,25
avoided,B,B,A-,A-,0.4986,0.5237,4.35563e-12,2,49,1117,2.863,2.628,0.235,0.270,3.115,2.737,0.379,NONE,NONE,handed->gave (38); handed->closed (36); slept->closed (32); handed->disappeared (32); handed->offered (29); sleep->give (27); sleep->escape (27); slept->gave (26); washed->offered (25); washed->closed (25),handed->gave  <<The headmaster told the boy to hold out his hand and then>>  ||  handed->closed  <<He lifted the package off the stranger's doorstep and>>  ||  slept->closed  <<He let himself into his ex's apartment and>>,The clinic nurse switched the labels on his allergy medication and  ||  The clinic nurse checked the labels on his allergy medication and  ||  She topped up the drops in his eye solution bottle and  ||  He placed the silver crown on the deity and  ||  He skimmed the receipt tape off the register drawer and  ||  She dropped the kitten into the washing machine and  ||  She pinned him down and started to  ||  She pinned him down and began to  ||  She was afraid and wanted to  ||  The headmaster told the boy to hold out his hand and then,533,0.01,25
avoided,A-,A-,A-,A-,0.7887,0.6492,6.98108e-11,3,49,1746,2.983,2.787,0.196,0.294,2.949,2.881,0.069,NONE,NONE,closed->gave (41); covered->gave (39); returned->gave (38); gave->offered (38); gave->closed (38); give->provide (37); gave->missed (37); gave->disappeared (35); covered->closed (34); covered->offered (33),closed->gave  <<The headmaster told the boy to hold out his hand and then>>  ||  covered->gave  <<He kept the horse in a stall too small to turn around in and>>  ||  returned->gave  <<He slipped the cigarettes from his own shirt pocket and>>,"The professor disagreed with the student and decided to  ||  The court heard her appeal and decided to  ||  The landlord vowed to store the tenant's belongings by Friday and then  ||  Before releasing her records, the clinic wanted the patient to sign a statement retracting her earlier complaint, and then  ||  The judge read the charge sheet and decided to  ||  The college found her guilty of plagiarism and decided to  ||  Before closing the audit, the officer wanted the accountant to retract his earlier complaint about her conduct, and then  ||  The coach warned the boy that he would bench him for the season and then  ||  She had missed a third of the classes on the course, so the college decided to  ||  There is a claimant refusing the denial reason I consider well founded, and I ought to",827,0.01,25
avoided,X-,X-,E+,E+,0.2762,0.0967,1.31259e-10,3,48,214,2.745,2.421,0.324,0.145,2.685,2.392,0.293,NONE,NONE,murmured->smiled (12); lost->smiled (12); lose->laugh (11); whispered->smiled (9); muttered->smiled (9); forgot->smiled (9); forget->love (8); whispered->rested (7); lose->enjoy (7); ignored->smiled (7),"murmured->smiled  <<At the front door, she pulled her into a kiss and>>  ||  lost->smiled  <<He slipped a lemon slice into his rival's water bottle and>>  ||  lose->laugh  <<In the filthy place she began to>>","The sensation was both pleasure and pain and she began to  ||  She was faithful and devoted to him and she began to  ||  The sensation was pure pleasure and she began to  ||  She was so desperate for him she wanted to  ||  He was inside her now and she started to  ||  At the front door, she pulled her into a kiss and  ||  At the party, he wrapped his arm around her waist and  ||  At the party, he wrapped his arm around the banister and  ||  He slipped a lemon slice into his rival's water bottle and  ||  He scratched an insult into the paint of his coworker's car and",76,0.01,25
avoided,Z,Z,X-,X-,0.2569,0.3839,1.31259e-10,3,48,245,2.683,2.417,0.267,0.182,2.100,2.540,-0.440,NONE,NONE,say->lose (23); blessed->whispered (16); say->refuse (15); cut->whispered (12); say->ignore (11); refuse->reject (11); denied->failed (11); sue->ignore (10); deny->refuse (10); stop->reject (9),say->lose  <<She was faithful and unfaithful to him and she began to>>  ||  blessed->whispered  <<He relit the votive candles in the alcove and>>  ||  say->refuse  <<My tenant keeps demanding expensive repairs that aren't urgent. I should>>,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  My tenant keeps demanding expensive repairs that aren't urgent. I should  ||  There is a claimant refusing the denial reason I consider well founded, and I should probably  ||  There is a claimant refusing the denial reason I consider well founded, and I ought to  ||  There is a denial letter on the claim that repeats the reason I already refuted, and I should probably  ||  He traced the sand mandala with his hand and  ||  She was faithful and unfaithful to him and she began to  ||  She was unfaithful to him and she began to  ||  In the filthy place she began to  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should",99,0.01,25
avoided,X+,X+,X+,X+,0.7778,0.6522,7.59716e-09,5,49,1615,2.765,2.584,0.181,0.210,2.467,2.430,0.037,NONE,NONE,expect->try (43); tried->noticed (39); tried->shouted (38); expect->inform (38); tried->decided (37); try->inform (36); decided->noticed (36); picked->noticed (35); picked->tried (34); tried->realized (33),expect->try  <<A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should probably>>  ||  tried->noticed  <<He let himself into his ex's apartment and>>  ||  tried->shouted  <<He rubbed the guard dog on the ribs and>>,"He read the notes from her therapy session and  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  He checked the playlist saved in the car's Bluetooth and  ||  He read the spreadsheet open on his coworker's screen and  ||  Having heard the same fee query my colleague and I already answered three times, we  ||  She was innocent and guilty and she began to  ||  The boy admired the stained-glass window and  ||  He checked the odometer to see where she'd really driven and  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should  ||  She checked the weather forecast at two in the morning and",795,0.01,25
avoided,E-,E-,E-,E-,0.6592,0.7596,7.59716e-09,5,49,687,3.773,3.443,0.330,0.456,4.779,4.624,0.155,VIOLENT,VIOLENT,hit->kicked (29); kicked->hit (28); slapped->kicked (26); cried->kicked (26); stabbed->threatened (25); hit->threatened (24); suffer->weep (23); cry->punch (22); kick->hit (21); hit->cry (21),"hit->kicked  <<He knocked over the flowerpots outside the neighbour's door and>>  ||  kicked->hit  <<He picked up the brick and>>  ||  slapped->kicked  <<Pinned against the wall, she got one arm free and>>","The other inmates surrounded him and began to  ||  I was so angry I wanted to  ||  She was innocent and she began to  ||  She was furious with her partner and started to  ||  When she tried to leave, he blocked the door and started to  ||  She balled her fist, she wanted to  ||  She was guilty and she began to  ||  The sensation was pure pain and she began to  ||  The sensation was both pain and agony and she began to  ||  She was faithful and unfaithful to him and she began to",366,0.01,25
avoided,X-,X-,T+,T+,0.5150,0.3107,7.59716e-09,5,49,458,2.860,2.642,0.218,0.230,2.765,2.519,0.247,NONE,NONE,lose->start (37); lost->started (34); ignore->start (31); lost->began (28); refuse->start (24); lost->continued (20); murmured->began (19); murmured->started (18); reject->continue (17); whispered->began (16),lose->start  <<She lay in the hospital bed knowing she would soon>>  ||  lost->started  <<By morning she had>>  ||  ignore->start  <<My employee keeps going over my head to complain about me. I should>>,"He waded into the temple tank in bare feet and  ||  She told him to stop, but he kept his hand on her back and  ||  A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should  ||  In the break room, he hugged her even after she turned her face away and  ||  With the rent increase I cannot pay due next month, I ought to  ||  She pressed the marker against her coworker's arm and  ||  The player nudged his opponent in the ribs and  ||  By morning she had  ||  She lay in the hospital bed knowing she would soon  ||  With the rent increase I cannot pay due next month, I should",113,0.01,25
