source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
S+,S+,O-,O-,35,46,200,2.2656,1.9173,0.000535585,letter,32
S+,S+,E-,E-,45,49,1109,2.2583,1.3321,8.22546e-10,letter,32
T+,T+,O-,O-,34,46,222,2.1956,0.8838,0.00164149,letter,32
N+,N+,G+,G+,27,39,41,2.0949,2.3591,0.0237027,letter,32
B-,B-,C,C,34,49,95,2.0786,2.6241,0.00939924,letter,32
E,E,T+,T+,41,48,306,2.0216,1.6676,6.24041e-07,letter,32
F,F,L-,L-,37,49,246,1.8120,1.0985,0.000469757,letter,32
O-,O-,F,F,32,47,103,1.8116,1.2769,0.0186238,letter,32
N+,N+,W-,W-,24,43,22,1.7682,1.4233,0.542384,letter,32
O-,O-,G,G,27,46,44,1.7450,0.7804,0.301996,letter,32
N+,N+,E,E,33,49,286,1.7246,1.8402,0.0212941,letter,32
K,K,W,W,29,48,95,1.7188,1.5850,0.193413,letter,32
H,H,G-,G-,31,47,137,1.7109,1.3049,0.0399861,letter,32
S-,S-,O-,O-,27,47,103,1.6960,1.6896,0.381693,letter,32
O-,O-,X+,X+,36,48,171,1.6523,1.3783,0.00071727,letter,32
N-,N-,E-,E-,32,48,401,1.6136,1.1856,0.0293049,letter,32
B-,B-,E+,E+,31,49,206,1.5972,1.8309,0.0854331,letter,32
K,K,Y,Y,27,44,216,1.5918,1.1903,0.174171,letter,32
O-,O-,M,M,38,48,317,1.5789,0.9851,6.16964e-05,letter,32
X,X,K,K,40,49,765,1.5775,1.1151,9.26355e-06,letter,32
A,A,L,L,35,48,540,1.5727,1.5562,0.00208811,letter,32
N,N,L+,L+,26,42,46,1.5716,0.9991,0.164149,letter,32
L,L,S+,S+,29,48,199,1.5639,2.1566,0.193413,letter,32
Q,Q,G+,G+,31,46,82,1.5497,1.6526,0.0258961,letter,32
N-,N-,Q,Q,38,49,779,1.5442,1.5283,0.000141971,letter,32
B-,B-,T+,T+,32,49,191,1.5399,1.7229,0.0443842,letter,32
O-,O-,O+,O+,30,47,71,1.5138,1.0614,0.0789407,letter,32
E-,E-,P,P,31,49,200,1.5032,1.3290,0.0854331,letter,32
O-,O-,S,S,34,48,147,1.5029,1.2523,0.0055152,letter,32
N-,N-,L-,L-,24,47,79,1.5028,0.7421,1,letter,32
O-,O-,T,T,29,46,128,1.4731,1.0627,0.103805,letter,32
T-,T-,P,P,31,49,139,1.4729,1.4665,0.0854331,letter,32
I+,I+,S,S,19,35,12,1.4547,0.0385,0.735879,letter,32
Y,Y,X,X,33,48,93,1.4487,1.2031,0.0132833,letter,32
E+,E+,I,I,30,48,489,1.4387,0.9070,0.111403,letter,32
B-,B-,N+,N+,36,49,252,1.4366,2.1779,0.00140269,letter,32
E,E,O-,O-,23,41,47,1.4336,1.0178,0.532709,letter,32
C,C,E+,E+,34,48,346,1.4306,1.3579,0.0055152,letter,32
N+,N+,E-,E-,36,49,1077,1.4287,0.9971,0.00140269,letter,32
W,W,M,M,36,49,319,1.3970,1.2859,0.00140269,letter,32
L-,L-,P,P,33,46,128,1.3964,2.8109,0.00453386,letter,32
X-,X-,I,I,31,48,417,1.3879,0.5634,0.0594634,letter,32
N+,N+,Y,Y,30,47,870,1.3846,0.8962,0.0789407,letter,32
E,E,A-,A-,27,48,418,1.3806,0.8172,0.470879,letter,32
B-,B-,Q,Q,36,49,402,1.3804,1.3719,0.00140269,letter,32
X+,X+,Y,Y,27,47,971,1.3742,0.8254,0.381693,letter,32
K,K,G-,G-,27,49,186,1.3673,0.6866,0.568172,letter,32
S-,S-,E-,E-,37,49,543,1.3636,1.1732,0.000469757,letter,32
S-,S-,E+,E+,33,49,479,1.3544,1.4873,0.0212941,letter,32
F,F,I+,I+,17,29,14,1.3525,1.6935,0.458258,letter,32
P,P,T+,T+,36,48,188,1.3480,1.3515,0.00071727,letter,32
T+,T+,X-,X-,38,49,988,1.3454,1.0316,0.000141971,letter,32
C,C,S+,S+,35,48,648,1.3428,1.4591,0.00208811,letter,32
G+,G+,A-,A-,25,42,32,1.3420,0.4994,0.279956,letter,32
K,K,T+,T+,37,49,566,1.3375,0.8698,0.000469757,letter,32
X-,X-,A+,A+,37,49,1070,1.3370,0.7864,0.000469757,letter,32
E,E,O+,O+,29,47,90,1.3328,0.7217,0.143865,letter,32
E,E,Q,Q,36,48,486,1.3244,0.7363,0.00071727,letter,32
G-,G-,E-,E-,33,49,329,1.3234,1.3782,0.0212941,letter,32
K,K,A+,A+,37,49,931,1.3219,0.9663,0.000469757,letter,32
E-,E-,Q,Q,44,49,1355,1.3205,1.3522,7.59716e-09,letter,32
N,N,O-,O-,28,47,253,1.3164,1.2582,0.24296,letter,32
M,M,F+,F+,17,28,35,1.3162,0.0527,0.344928,letter,32
F,F,X,X,41,49,865,1.3151,1.7312,1.96465e-06,letter,32
Q,Q,I+,I+,25,42,81,1.3150,1.0625,0.279956,letter,32
F,F,N,N,36,49,747,1.3093,1.5411,0.00140269,letter,32
A+,A+,E-,E-,42,49,1601,1.3066,1.1376,3.62458e-07,letter,32
N,N,O+,O+,34,49,916,1.3020,1.4194,0.00939924,letter,32
H,H,Q,Q,34,49,809,1.2995,1.3346,0.00939924,letter,32
P,P,Q,Q,36,49,334,1.2991,1.3143,0.00140269,letter,32
E+,E+,O-,O-,27,47,141,1.2966,1.1312,0.381693,letter,32
E-,E-,C,C,32,48,271,1.2930,1.3078,0.0293049,letter,32
E,E,A,A,33,48,534,1.2921,0.7966,0.0132833,letter,32
O-,O-,N+,N+,28,47,175,1.2899,0.9444,0.24296,letter,32
X-,X-,T,T,29,48,660,1.2875,0.5707,0.193413,letter,32
G,G,E+,E+,30,49,369,1.2873,2.0786,0.152408,letter,32
N,N,W-,W-,24,43,17,1.2857,2.0611,0.542384,letter,32
I,I,X,X,37,49,1215,1.2843,1.6893,0.000469757,letter,32
K,K,I,I,29,48,415,1.2824,0.8047,0.193413,letter,32
Z,Z,L+,L+,25,47,102,1.2809,0.8935,0.770867,letter,32
O,O,F,F,35,49,736,1.2759,0.9913,0.00380165,letter,32
X,X,H,H,30,49,589,1.2753,0.7308,0.152408,letter,32
M,M,W-,W-,26,43,30,1.2750,1.3758,0.222053,letter,32
E+,E+,X+,X+,39,49,1108,1.2738,1.2136,3.84591e-05,letter,32
I,I,E,E,31,49,223,1.2721,1.9518,0.0854331,letter,32
A-,A-,G-,G-,31,49,573,1.2698,0.7523,0.0854331,letter,32
L+,L+,E-,E-,28,47,97,1.2679,1.3105,0.24296,letter,32
G-,G-,Z,Z,29,49,557,1.2662,1.4995,0.25287,letter,32
T,T,G,G,31,49,432,1.2652,1.1343,0.0854331,letter,32
Z,Z,B+,B+,23,38,42,1.2651,0.3755,0.255875,letter,32
K,K,A-,A-,34,49,778,1.2643,0.8762,0.00939924,letter,32
O,O,I+,I+,23,39,42,1.2642,1.0239,0.336784,letter,32
E-,E-,M,M,42,49,1440,1.2632,1.2612,3.62458e-07,letter,32
G+,G+,O,O,18,33,11,1.2626,0.2901,0.728332,letter,32
O-,O-,Q,Q,31,48,224,1.2626,1.0304,0.0594634,letter,32
N-,N-,L,L,29,47,94,1.2605,1.4959,0.143865,letter,32
L-,L-,Q,Q,39,49,684,1.2601,2.4690,3.84591e-05,letter,32
S,S,X-,X-,37,49,763,1.2592,2.2702,0.000469757,letter,32
X-,X-,L-,L-,26,49,124,1.2591,0.2466,0.77545,letter,32
E-,E-,T-,T-,35,49,542,1.2590,1.3138,0.00380165,letter,32
X,X,W,W,26,47,226,1.2587,0.7897,0.560065,letter,32
H,H,S+,S+,31,49,608,1.2577,1.5152,0.0854331,letter,32
F-,F-,Q,Q,19,32,35,1.2572,1.7141,0.377086,letter,32
Z,Z,E-,E-,32,49,1371,1.2566,1.1604,0.0443842,letter,32
L+,L+,T-,T-,25,47,87,1.2562,1.1512,0.770867,letter,32
G,G,X+,X+,37,49,736,1.2538,2.0950,0.000469757,letter,32
Q,Q,E,E,38,49,482,1.2520,1.7652,0.000141971,letter,32
G-,G-,E+,E+,31,49,307,1.2500,1.2582,0.0854331,letter,32
A+,A+,O-,O-,28,47,374,1.2494,1.0155,0.24296,letter,32
K,K,Z,Z,34,50,763,1.2488,0.9558,0.0153467,letter,32
T,T,N,N,34,49,1575,1.2469,1.2199,0.00939924,letter,32
S,S,W-,W-,17,32,12,1.2423,1.2289,0.86005,letter,32
E-,E-,I,I,28,49,606,1.2408,1.0691,0.391603,letter,32
Z,Z,X,X,34,49,1974,1.2389,1.3415,0.00939924,letter,32
N,N,E,E,34,49,258,1.2381,1.7623,0.00939924,letter,32
N+,N+,L,L,28,48,303,1.2377,1.1375,0.312327,letter,32
I-,I-,X+,X+,28,49,469,1.2359,1.4405,0.391603,letter,32
K,K,O-,O-,32,47,58,1.2355,0.8753,0.0186238,letter,32
T-,T-,Q,Q,43,49,1276,1.2332,1.3052,5.72777e-08,letter,32
E-,E-,K,K,35,49,508,1.2295,1.5991,0.00380165,letter,32
B,B,X+,X+,33,49,1332,1.2288,1.4900,0.0212941,letter,32
L-,L-,I,I,33,49,355,1.2243,1.6395,0.0212941,letter,32
E-,E-,O+,O+,28,49,470,1.2217,1.3753,0.391603,letter,32
H,H,E,E,24,46,112,1.2212,1.7086,0.882996,letter,32
H,H,X+,X+,31,49,649,1.2198,1.5177,0.0854331,letter,32
A-,A-,F-,F-,16,31,29,1.2175,0.0000,1,letter,32
M,M,F-,F-,20,34,31,1.2167,0.5711,0.391528,letter,32
C,C,Q,Q,37,49,824,1.2142,1.2643,0.000469757,letter,32
G,G,A,A,31,49,931,1.2093,1.7985,0.0854331,letter,32
A-,A-,K,K,29,49,898,1.2088,1.0174,0.25287,letter,32
A-,A-,T+,T+,36,49,1689,1.2066,1.0891,0.00140269,letter,32
E-,E-,T+,T+,36,49,970,1.2056,1.4200,0.00140269,letter,32
X,X,S-,S-,34,49,854,1.2054,0.8565,0.00939924,letter,32
I-,I-,A-,A-,30,49,497,1.2046,1.9529,0.152408,letter,32
L-,L-,T-,T-,29,49,317,1.2033,2.1484,0.25287,letter,32
F,F,Q,Q,35,49,1009,1.2021,1.4236,0.00380165,letter,32
Z,Z,E+,E+,36,49,1385,1.1994,1.3617,0.00140269,letter,32
E-,E-,N+,N+,33,49,1046,1.1991,1.2935,0.0212941,letter,32
E-,E-,G,G,32,49,465,1.1988,1.0874,0.0443842,letter,32
X-,X-,B-,B-,26,48,126,1.1973,0.6441,0.665466,letter,32
T+,T+,E+,E+,27,49,1005,1.1969,0.5314,0.568172,letter,32
O+,O+,X,X,30,49,523,1.1966,1.5911,0.152408,letter,32
N+,N+,S-,S-,32,49,797,1.1941,0.9163,0.0443842,letter,32
B+,B+,M,M,26,43,58,1.1897,1.9928,0.222053,letter,32
X+,X+,S+,S+,39,49,1875,1.1890,0.9437,3.84591e-05,letter,32
T-,T-,X,X,36,49,1081,1.1887,1.5694,0.00140269,letter,32
L-,L-,C,C,26,48,123,1.1885,2.0362,0.665466,letter,32
B,B,Y,Y,27,46,677,1.1873,1.3823,0.301996,letter,32
O,O,L,L,29,49,311,1.1864,1.2653,0.25287,letter,32
B-,B-,K,K,30,49,168,1.1847,1.6919,0.152408,letter,32
N+,N+,S,S,35,49,1408,1.1833,0.9735,0.00380165,letter,32
E+,E+,X-,X-,33,49,614,1.1833,1.1226,0.0212941,letter,32
T-,T-,E+,E+,27,49,529,1.1816,1.2593,0.568172,letter,32
Q,Q,A+,A+,46,50,2198,1.1813,1.2192,4.46178e-10,letter,32
L+,L+,X+,X+,28,46,135,1.1803,1.9577,0.183925,letter,32
S,S,T,T,33,49,1134,1.1802,1.3958,0.0212941,letter,32
T,T,E+,E+,29,48,1101,1.1788,1.5298,0.193413,letter,32
G,G,F,F,29,49,261,1.1786,1.5822,0.25287,letter,32
X,X,S+,S+,33,49,1746,1.1784,0.7917,0.0212941,letter,32
W,W,Q,Q,27,49,250,1.1782,1.2630,0.568172,letter,32
N+,N+,S+,S+,33,49,1819,1.1768,1.1074,0.0212941,letter,32
H,H,T-,T-,27,49,336,1.1748,1.1381,0.568172,letter,32
O+,O+,E-,E-,28,49,361,1.1730,1.1947,0.391603,letter,32
A+,A+,Z,Z,39,50,2304,1.1712,1.1341,9.02149e-05,letter,32
N+,N+,E+,E+,29,48,1084,1.1710,0.9880,0.193413,letter,32
