source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
X,X,Q-,Q-,23,32,17,2.3460,1.0898,0.0200616,letter,32
T+,T+,O-,O-,34,46,228,2.2766,0.8344,0.00164149,letter,32
B-,B-,C,C,35,49,95,2.2161,2.2114,0.00380165,letter,32
E,E,T+,T+,39,48,311,2.1019,1.4644,1.52218e-05,letter,32
S+,S+,E-,E-,44,49,1205,2.0779,1.1394,7.59716e-09,letter,32
S+,S+,O-,O-,38,47,244,2.0202,1.6711,2.4904e-05,letter,32
O-,O-,F,F,33,47,111,1.9057,1.2444,0.00794273,letter,32
F,F,L-,L-,37,49,252,1.9057,0.9581,0.000469757,letter,32
H,H,G-,G-,33,47,158,1.8362,1.1690,0.00794273,letter,32
K,K,L,L,30,47,179,1.8043,1.4863,0.0789407,letter,32
A,A,L,L,40,48,623,1.7417,1.5596,3.30527e-06,letter,32
N-,N-,L-,L-,26,47,89,1.7321,0.7046,0.560065,letter,32
B-,B-,N+,N+,40,49,279,1.6956,1.5901,9.26355e-06,letter,32
T+,T+,Y,Y,41,49,1279,1.6722,0.7711,1.96465e-06,letter,32
Q,Q,G+,G+,30,46,84,1.6295,1.3342,0.054076,letter,32
K,K,Y,Y,37,48,465,1.6201,0.9920,0.000222245,letter,32
X+,X+,Q-,Q-,18,30,15,1.6196,0.7916,0.361595,letter,32
X-,X-,B-,B-,27,48,135,1.6167,0.6750,0.470879,letter,32
N+,N+,E,E,33,49,332,1.6112,1.5381,0.0212941,letter,32
Z,Z,L+,L+,32,48,151,1.6027,1.2873,0.0293049,letter,32
A+,A+,Q-,Q-,19,31,15,1.5689,0.7732,0.281042,letter,32
B-,B-,T+,T+,34,49,200,1.5681,1.8364,0.00939924,letter,32
Y,Y,E+,E+,34,48,763,1.5612,1.6790,0.0055152,letter,32
N,N,L+,L+,31,45,55,1.5607,1.1733,0.0160944,letter,32
X,X,K,K,42,49,959,1.5405,1.1119,3.62458e-07,letter,32
F,F,I+,I+,18,30,14,1.5227,0.9133,0.361595,letter,32
H,H,B-,B-,28,47,124,1.5214,1.5602,0.24296,letter,32
F,F,Y,Y,33,49,547,1.5174,1.6180,0.0212941,letter,32
N,N,W-,W-,23,43,18,1.5077,1.4907,0.760792,letter,32
B-,B-,E+,E+,32,49,232,1.5037,1.4743,0.0443842,letter,32
W,W,M,M,34,49,354,1.4972,1.1102,0.00939924,letter,32
I+,I+,S,S,20,37,16,1.4951,0.2608,0.742829,letter,32
N-,N-,X-,X-,33,48,355,1.4877,1.6135,0.0132833,letter,32
X-,X-,H,H,32,48,274,1.4871,0.6945,0.0293049,letter,32
S,S,Q-,Q-,19,28,17,1.4689,1.8457,0.0871586,letter,32
M,M,W-,W-,31,44,36,1.4649,1.5259,0.00955988,letter,32
N-,N-,E-,E-,31,48,430,1.4582,1.0220,0.0594634,letter,32
E,E,O-,O-,24,42,48,1.4538,0.8356,0.440799,letter,32
E-,E-,P,P,32,49,253,1.4467,1.1414,0.0443842,letter,32
L+,L+,T,T,29,47,84,1.4414,1.8334,0.143865,letter,32
Q,Q,I+,I+,25,42,84,1.4408,1.0883,0.279956,letter,32
N-,N-,Q,Q,35,49,834,1.4316,1.2375,0.00380165,letter,32
X-,X-,A+,A+,39,49,1131,1.4278,0.6871,3.84591e-05,letter,32
K,K,W,W,28,48,125,1.4204,1.0903,0.312327,letter,32
H,H,E,E,31,48,142,1.4164,1.7478,0.0594634,letter,32
L+,L+,G-,G-,26,44,45,1.4110,1.2285,0.291215,letter,32
I,I,E,E,32,49,248,1.4101,1.7853,0.0443842,letter,32
A-,A-,Q-,Q-,15,27,12,1.4078,0.0000,0.701108,letter,32
Z,Z,I-,I-,37,49,628,1.4041,1.3895,0.000469757,letter,32
K,K,Z,Z,42,50,1158,1.3991,0.9838,1.16356e-06,letter,32
T-,T-,H,H,32,49,487,1.3968,1.6822,0.0443842,letter,32
G-,G-,Y,Y,30,48,292,1.3962,1.1201,0.111403,letter,32
E+,E+,I,I,35,50,626,1.3954,1.0491,0.00660045,letter,32
F,F,N,N,40,49,770,1.3943,1.5051,9.26355e-06,letter,32
S-,S-,O-,O-,27,48,110,1.3925,1.3862,0.470879,letter,32
E,E,O+,O+,27,47,121,1.3910,0.7493,0.381693,letter,32
O-,O-,T,T,27,46,148,1.3769,1.0558,0.301996,letter,32
C,C,E+,E+,34,49,375,1.3738,1.1584,0.00939924,letter,32
Q-,Q-,A+,A+,14,26,11,1.3665,0.0000,0.845019,letter,32
O-,O-,X+,X+,30,48,215,1.3622,1.1376,0.111403,letter,32
H,H,M,M,39,50,1023,1.3616,1.1426,9.02149e-05,letter,32
K,K,O-,O-,28,47,105,1.3562,0.6965,0.24296,letter,32
C,C,S+,S+,38,48,681,1.3526,1.3179,6.16964e-05,letter,32
T-,T-,P,P,26,49,172,1.3507,1.1059,0.77545,letter,32
O,O,F,F,34,49,813,1.3485,0.9402,0.00939924,letter,32
E-,E-,C,C,29,48,281,1.3483,1.1006,0.193413,letter,32
G+,G+,A-,A-,25,42,33,1.3388,0.4659,0.279956,letter,32
X,X,W,W,31,48,258,1.3381,0.6640,0.0594634,letter,32
I,I,G+,G+,28,43,58,1.3313,1.9193,0.065994,letter,32
Q,Q,E,E,39,49,499,1.3272,1.5647,3.84591e-05,letter,32
O-,O-,K,K,27,47,110,1.3252,1.0747,0.381693,letter,32
A-,A-,L,L,27,49,458,1.3252,0.9440,0.568172,letter,32
T+,T+,X-,X-,36,49,1002,1.3235,0.9603,0.00140269,letter,32
Z,Z,I+,I+,27,45,81,1.3174,0.9255,0.232693,letter,32
X-,X-,I,I,31,48,446,1.3166,0.5410,0.0594634,letter,32
T,T,G,G,35,49,493,1.3156,1.0159,0.00380165,letter,32
S-,S-,E+,E+,35,49,529,1.3146,1.1551,0.00380165,letter,32
E,E,A,A,31,48,573,1.3055,0.7581,0.0594634,letter,32
S-,S-,P,P,28,48,155,1.3026,1.4157,0.312327,letter,32
G-,G-,E-,E-,31,49,351,1.2966,1.1837,0.0854331,letter,32
O-,O-,N+,N+,30,47,192,1.2966,0.9481,0.0789407,letter,32
O,O,L,L,32,49,352,1.2965,1.2863,0.0443842,letter,32
S-,S-,E-,E-,32,49,572,1.2961,1.1268,0.0443842,letter,32
E,E,Q,Q,35,48,498,1.2949,0.8794,0.00208811,letter,32
S,S,W-,W-,21,40,18,1.2931,1.1318,0.874629,letter,32
F,F,X,X,40,49,905,1.2923,1.5762,9.26355e-06,letter,32
T,T,L,L,27,49,349,1.2920,1.6497,0.568172,letter,32
B-,B-,K,K,29,49,202,1.2883,1.4900,0.25287,letter,32
Z,Z,Q-,Q-,18,28,12,1.2868,1.2438,0.184933,letter,32
F+,F+,Q,Q,28,42,51,1.2866,2.0412,0.0435585,letter,32
F-,F-,N+,N+,16,28,33,1.2844,1.5272,0.571588,letter,32
K,K,G-,G-,27,49,236,1.2837,0.6266,0.568172,letter,32
M,M,L,L,33,49,645,1.2830,1.5299,0.0212941,letter,32
E-,E-,N+,N+,35,49,1112,1.2820,1.2134,0.00380165,letter,32
A-,A-,G-,G-,31,49,595,1.2805,0.6805,0.0854331,letter,32
N,N,E,E,31,49,273,1.2775,1.2864,0.0854331,letter,32
B+,B+,M,M,26,43,62,1.2738,1.3528,0.222053,letter,32
M,M,Y,Y,37,49,1677,1.2736,1.2105,0.000469757,letter,32
I-,I-,H,H,31,48,198,1.2726,1.9608,0.0594634,letter,32
T-,T-,Q,Q,44,49,1290,1.2725,1.2444,7.59716e-09,letter,32
N+,N+,S,S,38,50,1762,1.2693,1.0777,0.000305864,letter,32
