source,source_label,target,target_label,up,n,spec,p,examples
E3-,Calm/Violent/Angry [-],N3.8,Measurement: Speed,31,37,2.0858,4.12576e-05,thump->rate (11); kicked->paced (9); hit->paced (7)
E3-,Calm/Violent/Angry [-],A7-,Definite (+ modals) [-],34,43,2.0575,0.000170155,stabbed->hesitated (20); hit->hesitated (16); abuse->doubt (14)
E3-,Calm/Violent/Angry [-],G2.1,"Crime, law and order: Law and order",37,49,1.7538,0.000469757,kicked->handcuffed (19); kick->punish (18); punch->handcuff (15)
E3-,Calm/Violent/Angry [-],S9,Religion and the supernatural,37,48,1.7192,0.000222245,hit->see (26); stab->see (24); kick->see (23)
E3-,Calm/Violent/Angry [-],T1,Time,33,47,1.6236,0.00794273,hit->never (28); threatened->never (23); hit->watch (20)
E3-,Calm/Violent/Angry [-],A5.2+,Evaluation:- True/false [+],32,45,1.5674,0.00660882,hit->prove (20); stab->prove (13); kick->prove (9)
E3-,Calm/Violent/Angry [-],Q3,"Language, speech and grammar",37,48,1.5600,0.000222245,hit->read (21); attack->read (18); threatened->read (15)
E3-,Calm/Violent/Angry [-],N5+,Quantities [+],38,48,1.5458,6.16964e-05,kick->increase (27); stab->surge (25); kick->raise (24)
E3-,Calm/Violent/Angry [-],A1.3+,Caution [+],37,48,1.5396,0.000222245,stabbed->carefully (29); hit->carefully (26); kicked->carefully (21)
E3-,Calm/Violent/Angry [-],E3+,Calm/Violent/Angry [+],39,49,1.4687,3.84591e-05,hit->gently (29); slapped->gently (28); kicked->gently (25)
E3-,Calm/Violent/Angry [-],X4.1,Mental object:- Conceptual object,34,47,1.4464,0.00308768,hit->thought (21); kick->issue (20); threatened->thought (18)
E3-,Calm/Violent/Angry [-],X5.2+,Interest/boredom/excited/energetic [+],34,46,1.4463,0.00164149,kicked->spurred (10); thump->flutter (7); anger->excitement (6)
E3-,Calm/Violent/Angry [-],X2.5+,Understand [+],32,45,1.4424,0.00660882,hit->realized (18); threatened->realized (15); punch->understand (14)
E3-,Calm/Violent/Angry [-],A2.1,"Affect:- Modify, change",32,48,1.4250,0.0293049,kick->increase (27); stab->surge (25); kick->raise (24)
E3-,Calm/Violent/Angry [-],I1.1,Money: Affluence,34,47,1.4239,0.00308768,threatened->proceed (28); hit->saved (21); kick->proceed (19)
E3-,Calm/Violent/Angry [-],A4.1,"Generally kinds, groups, examples",36,49,1.4091,0.00140269,hit->make (44); kick->make (36); stab->make (34)
E3-,Calm/Violent/Angry [-],P1,Education in general,34,49,1.3276,0.00939924,stabbed->studied (19); kick->expel (15); kick->mock (14)
E3-,Calm/Violent/Angry [-],E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",32,48,1.3087,0.0293049,hit->feel (26); kick->feel (21); stab->feel (19)
E3-,Calm/Violent/Angry [-],A8,Seem,35,49,1.3043,0.00380165,hit->looked (40); kicked->looked (37); stabbed->looked (37)
E3-,Calm/Violent/Angry [-],Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",41,49,1.2678,1.96465e-06,hit->said (46); stabbed->said (42); kicked->said (41)
E3-,Calm/Violent/Angry [-],I2.2,Business: Selling,32,48,1.2614,0.0293049,hit->let (43); kicked->let (39); stabbed->let (33)
E3-,Calm/Violent/Angry [-],K4,"Drama, the theatre and showbusiness",32,49,1.2550,0.0443842,attack->play (29); hit->play (26); torture->play (18)
E3-,Calm/Violent/Angry [-],Q2.1,Speech etc:- Communicative,36,49,1.2365,0.00140269,hit->said (46); stabbed->said (42); kicked->said (41)
E3-,Calm/Violent/Angry [-],T2-,Time: Beginning and ending [-],33,49,1.2232,0.0212941,kick->terminate (30); hit->end (27); hit->ended (25)
E3-,Calm/Violent/Angry [-],A1.5.1,Using,33,49,1.2076,0.0212941,kicked->used (33); hit->used (33); threatened->used (31)
E3-,Calm/Violent/Angry [-],S8+,Helping/hindering [+],35,49,1.1991,0.00380165,kicked->helped (25); hit->helped (25); shoulders->back (23)
E3-,Calm/Violent/Angry [-],M1,"Moving, coming and going",35,49,1.1634,0.00380165,hit->walked (42); hit->left (41); hit->ran (40)
E3-,Calm/Violent/Angry [-],M2,"Putting, taking, pulling, pushing, transporting &c.",37,49,1.1580,0.000469757,hit->pulled (43); hit->held (42); hit->turned (39)
E3-,Calm/Violent/Angry [-],E4.1+,Happy/sad: Happy [+],32,49,1.1188,0.0443842,hit->smiled (34); stabbed->smiled (29); kicked->smiled (29)
L1-,Life and living things [-],S6-,Obligation and necessity [-],27,40,2.0661,0.0384773,kill->free (21); die->free (11)
L1-,Life and living things [-],X2.3+,Learn [+],33,44,1.6890,0.00126003,kill->learn (31); die->learn (28); killed->learned (10)
L1-,Life and living things [-],A4.2+,Particular/general; detail [+],38,47,1.5911,2.4904e-05,kill->express (39); die->express (19); dead->very (6)
L1-,Life and living things [-],X2.5+,Understand [+],32,47,1.4358,0.0186238,die->understand (33); kill->understand (30); die->realize (23)
L1-,Life and living things [-],N3.8+fn,Measurement: Speed [+fn],31,43,1.3718,0.00540157,kill->express (39); die->express (19)
L1-,Life and living things [-],P1,Education in general,34,47,1.3240,0.00308768,kill->test (34); kill->teach (33); die->teach (16)
L1-,Life and living things [-],A15+,Safety/Danger [+],33,48,1.3011,0.0132833,kill->protect (38); die->protect (37); murder->protect (13)
L1-,Life and living things [-],A12-,Easy/difficult [-],33,46,1.2771,0.00453386,kill->challenge (25); kill->fix (19); die->challenge (17)
L1-,Life and living things [-],A2.2,Affect:- Cause/Connected,33,48,1.2507,0.0132833,kill->join (41); die->join (37); kill->cause (23)
L1-,Life and living things [-],E4.1+,Happy/sad: Happy [+],31,46,1.2472,0.0258961,killed->smiled (31); kill->laugh (29); die->laugh (19)
L1-,Life and living things [-],K1,Entertainment generally,37,49,1.1771,0.000469757,kill->leave (46); die->leave (42); kill->play (41)
L1-,Life and living things [-],Q2.2,Speech acts,36,49,1.1527,0.00140269,kill->scream (44); killed->shouted (41); killed->threatened (39)
L1-,Life and living things [-],I2.2,Business: Selling,32,48,1.0926,0.0293049,kill->let (42); killed->let (38); kill->buy (33)
