source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
B-,B-,C,C,36,49,109,2.2562,2.1152,0.00140269,letter,32
X,X,Q-,Q-,22,32,18,2.1497,1.0254,0.0501025,letter,32
X-,X-,B-,B-,35,48,177,2.1281,1.0492,0.00208811,letter,32
T+,T+,O-,O-,32,48,252,2.1053,0.6730,0.0293049,letter,32
H,H,L-,L-,38,49,289,1.9411,1.1593,0.000141971,letter,32
N,N,W-,W-,24,43,18,1.8902,1.4961,0.542384,letter,32
O-,O-,P,P,27,44,52,1.8762,1.5472,0.174171,letter,32
S+,S+,E-,E-,45,49,1527,1.8357,1.1790,8.22546e-10,letter,32
E,E,T+,T+,37,48,324,1.8040,1.3634,0.000222245,letter,32
O-,O-,F,F,37,47,163,1.7923,1.2013,9.84888e-05,letter,32
S+,S+,O-,O-,35,48,327,1.7787,1.6440,0.00208811,letter,32
H,H,G-,G-,37,48,389,1.7292,1.2615,0.000222245,letter,32
B-,B-,T+,T+,35,49,243,1.6573,1.9547,0.00380165,letter,32
T+,T+,Y,Y,40,49,1304,1.6420,0.7721,9.26355e-06,letter,32
N-,N-,L-,L-,28,47,160,1.6333,0.4765,0.24296,letter,32
Q,Q,I+,I+,30,45,95,1.6292,1.0423,0.0356978,letter,32
N+,N+,W-,W-,26,44,27,1.5934,1.5487,0.291215,letter,32
Z,Z,L+,L+,34,48,211,1.5916,1.2060,0.0055152,letter,32
E,E,O+,O+,32,47,167,1.5730,0.7789,0.0186238,letter,32
Z,Z,Q-,Q-,22,32,16,1.5407,1.8999,0.0501025,letter,32
F,F,L-,L-,34,49,268,1.5160,0.7089,0.00939924,letter,32
F,F,Y,Y,33,49,584,1.5083,1.5372,0.0212941,letter,32
N-,N-,X-,X-,37,48,635,1.4874,1.5945,0.000222245,letter,32
X+,X+,G+,G+,26,44,64,1.4758,1.1503,0.291215,letter,32
A,A,Q-,Q-,18,32,18,1.4748,0.7454,0.596615,letter,32
X+,X+,Q-,Q-,19,30,18,1.4720,0.7155,0.200488,letter,32
Y,Y,E+,E+,34,49,771,1.4596,1.6282,0.00939924,letter,32
B-,B-,N+,N+,38,49,413,1.4588,1.3628,0.000141971,letter,32
N-,N-,L,L,31,48,214,1.4565,1.2431,0.0594634,letter,32
X-,X-,A+,A+,41,49,1321,1.4513,0.6562,1.96465e-06,letter,32
C,C,X-,X-,32,48,434,1.4389,1.5864,0.0293049,letter,32
L+,L+,G-,G-,30,45,64,1.4365,1.7699,0.0356978,letter,32
H,H,E,E,33,49,268,1.4352,1.5306,0.0212941,letter,32
S,S,Q-,Q-,17,29,17,1.4334,1.2350,0.458258,letter,32
E-,E-,P,P,32,49,332,1.4181,1.0610,0.0443842,letter,32
K,K,Y,Y,35,48,516,1.4171,0.9568,0.00208811,letter,32
C,C,E+,E+,33,49,386,1.4153,1.2230,0.0212941,letter,32
N,N,L+,L+,29,47,96,1.4109,1.1220,0.143865,letter,32
B-,B-,E+,E+,32,49,287,1.4046,1.4110,0.0443842,letter,32
S+,S+,B,B,34,49,1611,1.4017,1.0456,0.00939924,letter,32
E+,E+,O-,O-,27,48,180,1.3913,1.0828,0.470879,letter,32
G-,G-,Y,Y,29,48,335,1.3907,1.0862,0.193413,letter,32
A,A,L,L,38,49,727,1.3897,1.4693,0.000141971,letter,32
E,E,X-,X-,30,48,299,1.3804,1.1602,0.111403,letter,32
N-,N-,Y,Y,30,48,662,1.3733,0.8678,0.111403,letter,32
S-,S-,O-,O-,30,48,153,1.3707,1.3425,0.111403,letter,32
P,P,W,W,25,45,53,1.3687,1.0961,0.551484,letter,32
S+,S+,L-,L-,36,49,457,1.3684,0.4720,0.00140269,letter,32
A+,A+,Q-,Q-,19,32,17,1.3674,0.6663,0.377086,letter,32
X-,X-,L,L,30,49,151,1.3667,0.5942,0.152408,letter,32
I,I,E,E,34,49,327,1.3664,1.5646,0.00939924,letter,32
X-,X-,L-,L-,27,49,157,1.3651,0.2550,0.568172,letter,32
K,K,N-,N-,35,48,524,1.3449,0.9827,0.00208811,letter,32
X,X,K,K,42,49,1198,1.3427,1.0663,3.62458e-07,letter,32
E,E,Z,Z,33,48,574,1.3387,0.7837,0.0132833,letter,32
X-,X-,W,W,29,47,148,1.3311,0.4620,0.143865,letter,32
H,H,W-,W-,24,42,15,1.3242,1.2049,0.440799,letter,32
E-,E-,I+,I+,20,36,30,1.3234,1.1487,0.617719,letter,32
B+,B+,M,M,28,48,73,1.3228,1.3682,0.312327,letter,32
O,O,F,F,38,49,1111,1.3168,1.0320,0.000141971,letter,32
T+,T+,I-,I-,32,49,578,1.3136,0.7625,0.0443842,letter,32
K,K,G,G,30,49,437,1.3118,0.8157,0.152408,letter,32
N-,N-,E-,E-,30,48,790,1.3081,0.8293,0.111403,letter,32
H,H,P,P,32,48,291,1.3073,1.1220,0.0293049,letter,32
O-,O-,B-,B-,30,49,131,1.3059,1.4026,0.152408,letter,32
Q,Q,E,E,39,49,542,1.3023,1.3709,3.84591e-05,letter,32
T,T,L,L,30,49,478,1.3007,1.1218,0.152408,letter,32
O-,O-,S,S,32,48,275,1.3006,1.2294,0.0293049,letter,32
B,B,L-,L-,36,49,418,1.2990,0.7277,0.00140269,letter,32
C,C,E,E,28,47,161,1.2978,1.3135,0.24296,letter,32
