pid,model,arm,pair,prompt,sample_idx,narrative_A,drift_A,drift_B,degree_A,mode_A,n_sents,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_pairwise,ordering,s_self,s_cross,s_by_base,s_by_aligned,s_cross_minus_self,s_aligned_minus_base
p000000,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,9,False,UNMOORED,UNMOORED,0,NONE,6,0.556038,0.606977,0.036952,0.606977,2.780189,0.218322,0.512245,0.043792,3.822049,3.959298,3.822049,3.959298,0.137249,0.137249
p000001,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,12,False,HOLDS,SHIFTS,1,TOLD,18,0.508177,0.702446,0.082558,0.744443,8.639012,0.086172,0.558223,-0.050046,2.582288,2.708182,2.582288,2.708182,0.125894,0.125894
p000002,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,13,False,HOLDS,HOLDS,2,TOLD,12,0.508084,0.605716,0.076285,0.713462,5.588926,0.127656,0.554723,-0.046639,3.169997,3.341514,3.169997,3.341514,0.171517,0.171517
p000003,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,14,True,SHIFTS,SHIFTS,3,SHOWN,13,0.454681,0.66923,0.118748,0.66923,5.456168,0.122656,0.500399,-0.045718,2.886384,3.014885,2.886384,3.014885,0.128502,0.128502
p000004,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,16,True,HOLDS,HOLDS,2,TOLD,20,0.495254,0.623942,0.079403,0.678559,9.409824,0.072112,0.509635,-0.014381,2.302332,2.510752,2.302332,2.510752,0.20842,0.20842
p000005,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,17,True,HOLDS,HOLDS,2,TOLD,16,0.492164,0.576177,0.073939,0.725399,7.382456,0.09826,0.528812,-0.036649,3.33328,3.423597,3.33328,3.423597,0.090317,0.090317
p000006,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,0,True,SHIFTS,UNMOORED,1,TOLD,14,0.478761,0.59523,0.081906,0.654393,6.223895,0.105142,0.526082,-0.047321,2.529783,2.689582,2.529783,2.689582,0.159798,0.159798
p000007,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,1,True,SHIFTS,SHIFTS,2,TOLD,11,0.514087,0.657222,0.076233,0.664959,5.140867,0.129348,0.517568,-0.003481,3.079154,3.26938,3.079154,3.26938,0.190226,0.190226
p000008,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,3,False,SHIFTS,UNMOORED,1,TOLD,16,0.475988,0.604714,0.087046,0.678707,7.139818,0.095059,0.521115,-0.045128,3.133755,3.28309,3.133755,3.28309,0.149335,0.149335
p000009,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,9,False,HOLDS,HOLDS,3,TOLD,2,,,,,,,,,2.826165,2.9266,2.826165,2.9266,0.100435,0.100435
p000010,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,13,False,SHIFTS,UNMOORED,0,NONE,14,0.547773,0.707028,0.075475,0.753858,7.121045,0.105863,0.577441,-0.029668,2.938022,3.150927,2.938022,3.150927,0.212905,0.212905
p000011,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,14,False,SHIFTS,UNMOORED,1,TOLD,8,0.488186,0.591701,0.065537,0.658248,3.417302,0.192622,0.515367,-0.027181,2.488186,2.613712,2.488186,2.613712,0.125526,0.125526
p000012,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,15,True,HOLDS,HOLDS,3,TOLD,13,0.457824,0.652501,0.084425,0.652501,5.493894,0.118768,0.486455,-0.028631,2.80436,2.938262,2.80436,2.938262,0.133902,0.133902
p000013,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,17,False,UNMOORED,UNMOORED,0,NONE,14,0.574737,0.68246,0.045262,0.741219,7.471578,0.099205,0.584709,-0.009972,5.063758,5.233272,5.063758,5.233272,0.169514,0.169514
p000014,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,0,False,UNMOORED,UNMOORED,0,NONE,13,0.485924,0.569888,0.058265,0.661806,5.831089,0.113496,0.494113,-0.008188,3.266927,3.440738,3.266927,3.440738,0.173811,0.173811
p000015,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,3,True,HOLDS,HOLDS,3,SHOWN,19,0.40288,0.557054,0.110427,0.620869,7.251849,0.085615,0.454563,-0.051682,2.799885,2.857158,2.799885,2.857158,0.057273,0.057273
