lineage,language,n_base,n_aligned,median_base,median_aligned,iqr_base,iqr_aligned,iqr_narrows,q1_delta,q2_delta,q3_delta,q4_delta,q5_delta,S_toward_middle
Amber,en,952,989,42300.0,70000.0,68000.0,36428.0,1,-0.18437369892345207,-0.14983834787706793,0.005059860142236888,0.2637892872012303,0.06536289945705279,0
Amber,zh,463,454,500.0,100000.0,53834.0,90000.0,0,-0.1593134223270949,-0.20289531022540225,-0.1920105422403212,0.07446646559024175,0.47975280920257657,0
Lucie-7B,en,926,996,45000.0,50.0,48000.0,60.0,1,0.7712513119432373,-0.18248805155828496,-0.1454673987526781,-0.23672877254157015,-0.20656708909070406,0
Lucie-7B,zh,461,480,9000.0,14150.0,49889.0,53518.0,0,-0.06137924801156906,-0.05573029645697758,-0.002250542299349234,0.11310556760665222,0.006254519161243671,0
Qwen2.5-0.5B,en,969,975,56000.0,50000.0,74000.0,60000.0,1,0.009037072318806044,0.031906009367309696,0.01898229737239024,-0.026638088433754065,-0.03328729062475194,0
Qwen2.5-0.5B,zh,479,474,40000.0,50000.0,69820.0,55000.0,1,-0.06774838578966376,-0.0674621001911507,0.10557772433779938,0.03806717581459265,-0.008434414171577587,1
Qwen2.5-7B,en,959,988,45000.0,50000.0,41000.0,40000.0,1,-0.11782685236392497,0.005226429352437806,0.08524715775964334,-0.0006934095485766623,0.028046674800420474,0
Qwen2.5-7B,zh,480,481,55000.0,50000.0,33000.0,20000.0,1,-0.06692654192654193,0.09733627858627861,0.09320859320859323,-0.05248613998613996,-0.07113218988218986,1
Qwen3-8B-Base,en,965,986,45000.0,49000.0,42000.0,35000.0,1,-0.07207852946431387,-0.030650873892526465,0.10624389116018035,0.01836172739597894,-0.021876215199318955,1
Qwen3-8B-Base,zh,483,492,60000.0,57700.0,36318.0,35000.0,1,-0.015414331161945155,0.07122658183103572,0.028922385497146902,-0.0383780235317881,-0.04635661263444932,1
SmolLM2-360M,en,974,983,42900.0,60000.0,42336.0,30000.0,1,-0.13402482865802837,-0.12883495814890092,-0.027425159957470024,0.21588670645323685,0.07439824031116246,0
SmolLM2-360M,zh,471,468,3505.92,46000.0,60211.0,138000.0,0,-0.13126735260493222,-0.12692579890032119,-0.056344928956393925,0.2383907670531874,0.07614731340845987,0
SmolLM3-3B-Base,en,962,987,15000.0,53000.0,52374.0,28000.0,1,-0.1894261575112639,-0.1397281078132142,-0.13788607405628683,0.2660933086465001,0.2009470307342648,0
SmolLM3-3B-Base,zh,475,478,45871.0,61000.0,119604.0,109026.0,1,-0.06401673640167366,-0.07238493723849374,0.04267782426778241,0.05107245100198196,0.04265139837040299,0
TinyLlama-1.1B-intermediate-step-1431k-3T,en,964,979,91000.0,90000.0,105323.0,95000.0,1,-0.11743819377042371,0.049042337214279974,0.09602905835830447,-0.02967292393372864,0.0020397221315678893,0
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,477,468,5000.0,9750.0,26085.0,58800.0,0,-0.07950330591840025,-0.06676342525399132,-0.004636348975971621,0.09123528463151104,0.05966779551685214,0
Yi-1.5-9B,en,947,964,47500.0,40000.0,60056.0,60445.0,0,0.04957126019270289,0.048217345011764584,-0.03160230822821139,-0.018005100185341794,-0.048181196790914316,0
Yi-1.5-9B,zh,461,484,50000.0,53020.0,81833.0,58218.0,1,-0.07559921837184705,-0.009277352503540642,0.050227676090425055,0.14165217547193487,-0.10700328068697226,1
bloom-7b1,en,958,891,57000.0,45300.0,101318.0,122127.0,0,0.10999814896822552,-0.04942840607419591,-0.04154043332888149,-0.01661359594553749,-0.0024157136196106543,0
bloom-7b1,zh,488,463,34255.0,25000.0,83600.0,67764.0,1,0.020536062033070124,0.021753177778564586,0.0029786141698828206,0.01449916793541764,-0.05976702191693517,0
gemma-2-9b,en,928,982,56000.0,65000.0,113100.0,51400.0,1,-0.16263431420745839,-0.08440067771613174,0.27932087927522997,0.009759726806657765,-0.042045614158297634,1
gemma-2-9b,zh,444,483,34263.0,78670.0,78370.0,65000.0,1,-0.16470818644731688,-0.12050249006770745,-0.09674892283587935,0.14439594874377482,0.23756365060712886,0
granite-3.0-8b-base,en,896,930,45610.0,40000.0,83283.0,50000.0,1,-0.04966157834101381,0.011398329493087556,0.13664554531490014,-0.03189804147465439,-0.06648425499231952,1
granite-3.0-8b-base,zh,448,437,25305.0,35000.0,69941.0,64800.0,1,-0.05505782118339328,-0.03814052795031056,0.09681472703497876,-0.04528644982020269,0.04167007191892774,0
kanana-1.5-8b-base,en,976,993,50000.0,60000.0,69000.0,45000.0,1,-0.17562589767718292,-0.0333162052399584,0.060041189969128134,0.07603119376619949,0.07286971918181367,0
kanana-1.5-8b-base,zh,469,494,41000.0,87500.0,97825.0,75000.0,1,-0.13062938632459448,-0.12021011196187943,-0.032302340236354365,0.18888495636335384,0.09425688215947445,0
llama-7b,en,947,990,63553.0,75000.0,70667.0,47500.0,1,-0.15504143867396245,0.008457329365460287,0.0791185348735507,0.08843876995936131,-0.020973195524409877,1
llama-7b,zh,456,491,10125.0,60000.0,82881.0,65000.0,1,-0.08472683746024941,-0.13924322006645942,0.057214063672419324,0.0814976596276843,0.0852583342266052,0
pythia-2.8b,en,930,960,42000.0,55895.0,70000.0,66645.0,1,-0.06350806451612903,-0.04230510752688171,0.010047043010752682,0.07022849462365588,0.025537634408602156,0
pythia-2.8b,zh,485,497,4500.0,5400.0,59800.0,60300.0,0,-0.0026675517019643658,-0.0049783235495446665,-0.02293762575452718,0.00945466614117696,0.021128834864859253,0
salamandra-7b,en,942,956,2450.0,45000.0,24884.0,45238.0,0,-0.10693441355968339,-0.16656894882249998,-0.20388384013360694,0.0441329318018282,0.4332542707139621,0
salamandra-7b,zh,452,469,50493.0,47610.0,54383.100000000006,55369.0,0,0.031162141253278486,0.003684170802120884,0.058559918485952045,-0.09234484970847406,-0.0010613808328773233,0
