model,group,role,n,torn,conflict*,at the same time,simultaneous*,contradict*,both at once,caught/split between,mixed feelings,two directions,paradox*,ambivalen*,warring,at war with self,of two minds,didn't know what felt,should,ought to,supposed to,guilt/guilty,the right thing,ANY_SO,ANY_DE,n_exitfree,torn|exitfree,conflict*|exitfree,at the same time|exitfree,simultaneous*|exitfree,contradict*|exitfree,both at once|exitfree,caught/split between|exitfree,mixed feelings|exitfree,two directions|exitfree,paradox*|exitfree,ambivalen*|exitfree,warring|exitfree,at war with self|exitfree,of two minds|exitfree,didn't know what felt|exitfree,should|exitfree,ought to|exitfree,supposed to|exitfree,guilt/guilty|exitfree,the right thing|exitfree,ANY_SO|exitfree,ANY_DE|exitfree
01-ai/Yi-1.5-9B,f11_beauty,BOTH,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01-ai/Yi-1.5-9B,f11_beauty,POLE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
01-ai/Yi-1.5-9B,f11_beauty_ugly,BOTH,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty_ugly,POLE,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
01-ai/Yi-1.5-9B,f11_captive,BOTH,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_captive,POLE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive_b,BOTH,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive_b,POLE,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
01-ai/Yi-1.5-9B,f11_class,BOTH,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_class,POLE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
