token,category
everyone,person_reference
spread,object_handling
served,object_handling
buried,ritual_observance
sprinted,locomotion_posture
hay,entity_noun
required,procedural_operation
what,grammatical_function
toward,grammatical_function
grinned,nonverbal_expression
apologize,speech_act
mr,person_reference
gently,quality_manner
tightened,object_handling
drop,object_handling
raped,bodily_violence
even,grammatical_function
locked,object_handling
thrust,bodily_violence
sang,speech_act
planted,object_handling
agreed,speech_act
wallpaper,entity_noun
wrapped,object_handling
prescribed,procedural_operation
give,transfer_possession
smiled,nonverbal_expression
bowed,nonverbal_expression
washed,object_handling
without,grammatical_function
will,grammatical_function
bolted,locomotion_posture
led,locomotion_posture
named,speech_act
smashed,property_damage
answering,speech_act
claimed,speech_act
kissed,contact_care
again,grammatical_function
shouted,speech_act
hugged,contact_care
landed,locomotion_posture
accept,procedural_operation
urinated,process_event
smashing,property_damage
felt,perception_cognition
hacked,property_damage
shut,object_handling
burned,property_damage
stared,perception_cognition
killed,bodily_violence
installed,object_handling
pay,transfer_possession
drew,object_handling
seeing,perception_cognition
decided,perception_cognition
tossed,object_handling
legs,entity_noun
provided,procedural_operation
headed,locomotion_posture
desecrated,ritual_observance
approached,locomotion_posture
children,person_reference
slashed,property_damage
review,procedural_operation
other,grammatical_function
slammed,object_handling
brought,transfer_possession
make,object_handling
replied,speech_act
presented,transfer_possession
return,transfer_possession
___,grammatical_function
elbow,entity_noun
showed,perception_cognition
provide,procedural_operation
escorted,locomotion_posture
combed,contact_care
prayed,ritual_observance
promoted,procedural_operation
opening,object_handling
blew,object_handling
really,quality_manner
yelled,speech_act
shattered,property_damage
snapped,speech_act
continued,grammatical_function
feet,entity_noun
rode,locomotion_posture
testament,entity_noun
dialed,procedural_operation
anyone,person_reference
created,object_handling
cleaned,object_handling
wrecked,property_damage
a,grammatical_function
reapply,procedural_operation
admired,perception_cognition
allegedly,quality_manner
scattered,object_handling
started,grammatical_function
burial,entity_noun
trousers,entity_noun
shaking,nonverbal_expression
calmly,quality_manner
sold,transfer_possession
stalking,locomotion_posture
downloaded,procedural_operation
your,person_reference
drinks,entity_noun
wept,nonverbal_expression
cupped,contact_care
hidden,object_handling
after,grammatical_function
erected,ritual_observance
approve,procedural_operation
hurried,locomotion_posture
finally,grammatical_function
sticks,entity_noun
pocket,entity_noun
cried,nonverbal_expression
screamed,nonverbal_expression
over,grammatical_function
hurled,object_handling
kept,grammatical_function
dates,entity_noun
daughter,person_reference
eating,process_event
pumped,object_handling
contributed,transfer_possession
stood,locomotion_posture
eventually,grammatical_function
destroyed,property_damage
stroked,contact_care
ground,entity_noun
shielded,contact_care
reflected,perception_cognition
typed,procedural_operation
up,grammatical_function
deposited,transfer_possession
throwing,object_handling
meant,perception_cognition
sister,person_reference
faster,quality_manner
shoulder,entity_noun
called,speech_act
could,grammatical_function
entered,locomotion_posture
window,entity_noun
post,procedural_operation
pull,object_handling
boarded,locomotion_posture
sprinkled,object_handling
