group,gloss
attempt_outcome,"Trying toward a goal and the success, failure, or resolved result that follows."
belief_knowledge,"Knowing, believing, remembering, expecting, or estimating the likelihood of something."
biological_state,"Sleeping, waking, aging, breathing, being born, dying, or other vital bodily states."
body_presentation,"Bodily movement, posture, gesture, exercise, dress, and grooming that shape physical self-presentation."
captivity_confinement,"Imprisoning, detaining, kidnapping, institutionalizing, or releasing someone from confinement."
caused_motion,"An agent causing another entity, substance, or body part to move through space."
classification_comparison,"Classifying, naming, labeling, or judging how entities resemble, differ, or compare."
commerce_finance,"Buying, selling, paying, funding, renting, and other monetary or market transactions."
compliance_permission,"Obeying, permitting, forbidding, agreeing, or granting and denying requests or authorization."
conflict_war,"Organized hostile engagement between opposing parties, including war, siege, and rebellion."
construction_creation,"Building, manufacturing, forging, duplicating, or creating physical or representational works."
control_manipulation,"Directing, dominating, leading, or exerting power and authority over others' actions, access, rank, or voice."
crime_law,"Committing offenses and the legal or police response: arrest, ruling, sentencing, and verdict."
damage_destruction,"Breaking, wrecking, erasing, or rendering something nonfunctional."
deception_secrecy,"Feigning, lying, hiding, or otherwise concealing or misrepresenting the truth."
desire_want,"Wanting, needing, or being inclined toward some outcome."
emotion,"Feeling states, emotional reactions, and the causing, directing, or regulating of them."
employment_work,"Being employed, hired, fired, or working at a post or occupation."
evaluation_assessment,"Assessing, judging, or interpreting evidence to reach a verdict on quality, worth, or likelihood."
fire_events,"A fire catching, burning, being set, or being fought and put out."
hands_on_manipulation,"Cutting, grinding, attaching, adjusting, or otherwise physically handling and shaping objects."
health_medical,"Illness, infection, medical treatment, and recovery or rejuvenation."
inquiry_education,"Teaching, examining, testing, researching, and seeking out information or skill."
material_process,"Physical or chemical processes such as heating, drying, wetting, corroding, rotting, or a substance changing phase or consistency."
opposition_competition,"Hindering, competing with, evading, intercepting, or otherwise working against another's action."
perception,"Sensing the world through sight, hearing, touch, or general noticing and attention."
persuasion_suasion,"Attempting to influence another's beliefs or actions through argument, pressure, or appeal."
possession_change,"Gaining, losing, using up, or giving up possession of something."
process_phase,"The starting, continuing, pausing, resuming, or ending of an ongoing activity or process."
reasoning_decision,"Thinking, reasoning, choosing, deciding, or forming plans, purposes, and mental connections."
reward_punishment,"Rewarding, punishing, forgiving, or avenging a deed."
safety_protection,"Endangering, protecting, preserving, rescuing, surviving, or otherwise helping and supporting someone in need."
scalar_quantity,"Increase, decrease, or other movement along a measurable scale, and the amounts, sums, or capacities being measured."
self_motion,An entity moving itself through space under its own power.
social_bond,"Forming, maintaining, or ending personal, communal, or ceremonial relationships."
sound_production,"The making, causing, or movement of sound and noise."
spatial_placement,"The relative position of entities in space and the act of positioning, containing, or storing them."
speech_act_stance,"Requesting, questioning, warning, affirming, complaining, or otherwise taking a communicative stance toward an addressee."
speech_communication,"Telling, discussing, reporting, and other general acts of verbal exchange."
speech_manner_channel,"The manner, medium, or linguistic form through which a message is communicated."
subsistence_production,"Obtaining or producing food and raw materials through agriculture, mining, hunting, gathering, or cooking."
time_relation,"Relations of time such as simultaneity, duration, scheduling, and change of timing."
transfer_possession,"Giving, receiving, lending, sending, and other transfers of an item between owners."
transformation,"A thing coming into being, ceasing to exist, or undergoing, causing, or being made to undergo change in form, substance, or condition."
vehicle_travel,"Traveling by, boarding, riding, landing, or operating a vehicle or vessel."
violence_harm,"Physical assault, killing, weapon use, rape, and other infliction of bodily harm or forceful impact."
weather_natural_phenomena,"Weather events, celestial phenomena, and natural or accidental catastrophes."
