source_lexicon,group,n_categories,gloss
framenet,attempt_outcome,12,"Trying toward a goal and the success, failure, or resolved result that follows."
framenet,belief_knowledge,14,"Knowing, believing, remembering, expecting, or estimating the likelihood of something."
framenet,biological_state,10,"Sleeping, waking, aging, breathing, being born, dying, or other vital bodily states."
framenet,body_presentation,10,"Bodily movement, posture, gesture, exercise, dress, and grooming that shape physical self-presentation."
framenet,captivity_confinement,6,"Imprisoning, detaining, kidnapping, institutionalizing, or releasing someone from confinement."
framenet,caused_motion,5,"An agent causing another entity, substance, or body part to move through space."
framenet,classification_comparison,13,"Classifying, naming, labeling, or judging how entities resemble, differ, or compare."
framenet,commerce_finance,15,"Buying, selling, paying, funding, renting, and other monetary or market transactions."
framenet,compliance_permission,16,"Obeying, permitting, forbidding, agreeing, or granting and denying requests or authorization."
framenet,conflict_war,6,"Organized hostile engagement between opposing parties, including war, siege, and rebellion."
framenet,construction_creation,10,"Building, manufacturing, forging, duplicating, or creating physical or representational works."
framenet,control_manipulation,12,"Directing, dominating, leading, or exerting power and authority over others' actions, access, rank, or voice."
framenet,crime_law,14,"Committing offenses and the legal or police response: arrest, ruling, sentencing, and verdict."
framenet,damage_destruction,5,"Breaking, wrecking, erasing, or rendering something nonfunctional."
framenet,deception_secrecy,8,"Feigning, lying, hiding, or otherwise concealing or misrepresenting the truth."
framenet,desire_want,4,"Wanting, needing, or being inclined toward some outcome."
framenet,emotion,12,"Feeling states, emotional reactions, and the causing, directing, or regulating of them."
framenet,employment_work,6,"Being employed, hired, fired, or working at a post or occupation."
framenet,evaluation_assessment,17,"Assessing, judging, or interpreting evidence to reach a verdict on quality, worth, or likelihood."
framenet,fire_events,4,"A fire catching, burning, being set, or being fought and put out."
framenet,hands_on_manipulation,14,"Cutting, grinding, attaching, adjusting, or otherwise physically handling and shaping objects."
framenet,health_medical,5,"Illness, infection, medical treatment, and recovery or rejuvenation."
framenet,inquiry_education,8,"Teaching, examining, testing, researching, and seeking out information or skill."
framenet,material_process,21,"Physical or chemical processes such as heating, drying, wetting, corroding, rotting, or a substance changing phase or consistency."
framenet,opposition_competition,11,"Hindering, competing with, evading, intercepting, or otherwise working against another's action."
framenet,perception,8,"Sensing the world through sight, hearing, touch, or general noticing and attention."
framenet,persuasion_suasion,7,"Attempting to influence another's beliefs or actions through argument, pressure, or appeal."
framenet,possession_change,11,"Gaining, losing, using up, or giving up possession of something."
framenet,process_phase,24,"The starting, continuing, pausing, resuming, or ending of an ongoing activity or process."
framenet,reasoning_decision,10,"Thinking, reasoning, choosing, deciding, or forming plans, purposes, and mental connections."
framenet,reward_punishment,6,"Rewarding, punishing, forgiving, or avenging a deed."
framenet,safety_protection,9,"Endangering, protecting, preserving, rescuing, surviving, or otherwise helping and supporting someone in need."
framenet,scalar_quantity,15,"Increase, decrease, or other movement along a measurable scale, and the amounts, sums, or capacities being measured."
framenet,self_motion,11,An entity moving itself through space under its own power.
framenet,social_bond,11,"Forming, maintaining, or ending personal, communal, or ceremonial relationships."
framenet,sound_production,5,"The making, causing, or movement of sound and noise."
framenet,spatial_placement,14,"The relative position of entities in space and the act of positioning, containing, or storing them."
framenet,speech_act_stance,16,"Requesting, questioning, warning, affirming, complaining, or otherwise taking a communicative stance toward an addressee."
framenet,speech_communication,14,"Telling, discussing, reporting, and other general acts of verbal exchange."
framenet,speech_manner_channel,6,"The manner, medium, or linguistic form through which a message is communicated."
framenet,subsistence_production,7,"Obtaining or producing food and raw materials through agriculture, mining, hunting, gathering, or cooking."
framenet,time_relation,6,"Relations of time such as simultaneity, duration, scheduling, and change of timing."
framenet,transfer_possession,9,"Giving, receiving, lending, sending, and other transfers of an item between owners."
