category,meta_field
accompany,physical_action
admire,emotion_affect
admit,evaluation_modality
adopt,possession_exchange
advise,communication_speech
amalgamate,physical_action
amuse,emotion_affect
animal_sounds,perception_sensation
appeal,emotion_affect
appear,existence_state
appoint,social_interpersonal
approve,evaluation_modality
assessment,evaluation_modality
assuming_position,physical_action
avoid,physical_action
banish,social_interpersonal
battle,social_interpersonal
begin,time_aspect
being_dressed,existence_state
bend,physical_action
berry,possession_exchange
bill,possession_exchange
body_internal_motion,body_health
body_internal_states,body_health
braid,physical_action
break,physical_action
breathe,body_health
bring,physical_action
build,physical_action
bulge,existence_state
bump,physical_action
butter,physical_action
calibratable_cos,quantity_degree
calve,body_health
captain,social_interpersonal
care,emotion_affect
carry,physical_action
carve,physical_action
change_bodily_state,body_health
characterize,communication_speech
chase,physical_action
cheat,possession_exchange
chew,physical_action
chit_chat,communication_speech
clear,physical_action
cling,physical_action
coil,physical_action
coloring,physical_action
complain,communication_speech
complete,time_aspect
concealment,physical_action
confess,communication_speech
confine,social_interpersonal
conjecture,cognition_mental
consider,cognition_mental
conspire,social_interpersonal
consume,possession_exchange
contiguous_location,existence_state
continue,time_aspect
contribute,possession_exchange
convert,physical_action
cooking,physical_action
cooperate,social_interpersonal
cope,cognition_mental
correspond,social_interpersonal
cost,possession_exchange
crane,physical_action
create,physical_action
curtsey,social_interpersonal
cut,physical_action
debone,physical_action
declare,communication_speech
dedicate,cognition_mental
defend,physical_action
destroy,physical_action
devour,physical_action
differ,quantity_degree
dine,physical_action
disappearance,existence_state
disassemble,physical_action
discover,cognition_mental
dress,physical_action
dressing_well,physical_action
drive,physical_action
dub,communication_speech
eat,physical_action
enforce,social_interpersonal
engender,physical_action
entity_specific_cos,existence_state
entity_specific_modes_being,existence_state
equip,possession_exchange
escape,physical_action
exceed,quantity_degree
exchange,possession_exchange
exhale,body_health
exist,existence_state
feeding,physical_action
ferret,cognition_mental
fill,physical_action
fit,existence_state
flinch,emotion_affect
floss,physical_action
focus,cognition_mental
forbid,evaluation_modality
force,evaluation_modality
free,physical_action
fulfilling,possession_exchange
funnel,physical_action
future_having,possession_exchange
get,possession_exchange
give,possession_exchange
gobble,physical_action
gorge,existence_state
groom,physical_action
help,social_interpersonal
herd,physical_action
hiccup,body_health
hit,physical_action
hold,physical_action
hunt,physical_action
hurt,body_health
illustrate,physical_action
image_impression,physical_action
indicate,communication_speech
inquire,communication_speech
instr_communication,communication_speech
investigate,cognition_mental
judgement,evaluation_modality
keep,possession_exchange
knead,physical_action
learn,cognition_mental
leave,physical_action
lecture,communication_speech
light_emission,perception_sensation
limit,quantity_degree
linger,time_aspect
lodge,existence_state
long,emotion_affect
manner_speaking,communication_speech
marry,social_interpersonal
marvel,emotion_affect
masquerade,existence_state
meander,physical_action
meet,social_interpersonal
mix,physical_action
modes_of_being_with_motion,physical_action
murder,physical_action
neglect,cognition_mental
nonvehicle,physical_action
nonverbal_expression,emotion_affect
obtain,possession_exchange
occurrence,existence_state
order,communication_speech
orphan,existence_state
other_cos,physical_action
pay,possession_exchange
peer,perception_sensation
pelt,physical_action
performance,physical_action
pit,physical_action
pocket,physical_action
poison,physical_action
poke,physical_action
pour,physical_action
preparing,physical_action
price,possession_exchange
push,physical_action
put,physical_action
put_direction,physical_action
put_spatial,physical_action
reflexive_appearance,communication_speech
refrain,time_aspect
register,quantity_degree
rely,cognition_mental
remove,physical_action
risk,evaluation_modality
roll,physical_action
rummage,physical_action
run,physical_action
say,communication_speech
scribble,physical_action
search,cognition_mental
see,perception_sensation
send,physical_action
separate,physical_action
settle,communication_speech
shake,physical_action
sight,perception_sensation
simple_dressing,physical_action
smell_emission,perception_sensation
snooze,body_health
sound_emission,perception_sensation
sound_existence,perception_sensation
spank,physical_action
spatial_configuration,existence_state
spray,physical_action
steal,possession_exchange
stop,time_aspect
substance_emission,physical_action
suffocate,body_health
suspect,cognition_mental
swarm,physical_action
swat,physical_action
tape,physical_action
tell,communication_speech
throw,physical_action
tingle,body_health
touch,physical_action
transcribe,communication_speech
transfer_mesg,communication_speech
try,cognition_mental
turn,physical_action
urge,communication_speech
vehicle,physical_action
waltz,physical_action
want,emotion_affect
weather,other
weekend,time_aspect
wink,communication_speech
wipe_instr,physical_action
wipe_manner,physical_action
wish,cognition_mental
withdraw,physical_action
